"";"...1";"mes";"volume"
"1";"GASA";2016-10-01;"82.6654208412903"
"2";"GASN";2016-10-01;"25.8277224574193"
"3";"Gás Total";2016-10-01;"108.49314329871"
"4";"GASA";2016-11-01;"84.0662239473333"
"5";"GASN";2016-11-01;"27.047025729"
"6";"Gás Total";2016-11-01;"111.113249676333"
"7";"GASA";2016-12-01;"87.4955457438709"
"8";"GASN";2016-12-01;"24.2767297058064"
"9";"Gás Total";2016-12-01;"111.772275449677"
"10";"GASA";2017-01-01;"87.137128741612898"
"11";"GASN";2017-01-01;"22.8025778216129"
"12";"Gás Total";2017-01-01;"109.939706563226"
"13";"GASA";2017-01-01;"87.1371287416129"
"14";"GASA";2017-02-01;"86.183654744642794"
"15";"GASN";2017-02-01;"20.455147595714301"
"16";"Gás Total";2017-02-01;"106.638802340357"
"17";"GASA";2017-02-01;"86.1836547446428"
"18";"GASN";2017-02-01;"20.4551475957143"
"19";"GASA";2017-03-01;"80.9584133496774"
"20";"GASN";2017-03-01;"20.387362082580601"
"21";"Gás Total";2017-03-01;"101.34577543225799"
"22";"GASN";2017-03-01;"20.3873620825806"
"23";"Gás Total";2017-03-01;"101.345775432258"
"24";"GASA";2017-04-01;"80.965377223666593"
"25";"GASN";2017-04-01;"21.615684307666701"
"26";"Gás Total";2017-04-01;"102.58106153133301"
"27";"GASA";2017-04-01;"80.9653772236666"
"28";"GASN";2017-04-01;"21.6156843076667"
"29";"Gás Total";2017-04-01;"102.581061531333"
"30";"GASA";2017-05-01;"83.584716871612898"
"31";"GASN";2017-05-01;"21.1957393790323"
"32";"Gás Total";2017-05-01;"104.780456250645"
"33";"GASA";2017-05-01;"83.5847168716129"
"34";"GASA";2017-06-01;"87.323483596666705"
"35";"GASN";2017-06-01;"23.810470023000001"
"36";"Gás Total";2017-06-01;"111.133953619667"
"37";"GASA";2017-06-01;"87.3234835966667"
"38";"GASN";2017-06-01;"23.810470023"
"39";"GASA";2017-07-01;"86.699007724193507"
"40";"GASN";2017-07-01;"28.307002371612899"
"41";"Gás Total";2017-07-01;"115.006010095806"
"42";"GASA";2017-07-01;"86.6990077241935"
"43";"GASN";2017-07-01;"28.3070023716129"
"44";"GASA";2017-08-01;"83.661033751290304"
"45";"GASN";2017-08-01;"28.179014378387102"
"46";"Gás Total";2017-08-01;"111.840048129677"
"47";"GASA";2017-08-01;"83.6610337512903"
"48";"GASN";2017-08-01;"28.1790143783871"
"49";"GASA";2017-09-01;"86.827874535000007"
"50";"GASN";2017-09-01;"27.178507589999999"
"51";"Gás Total";2017-09-01;"114.006382125"
"52";"GASA";2017-09-01;"86.720927522333298"
"53";"Gás Total";2017-09-01;"113.89943511233299"
"54";"GASA";2017-09-01;"86.827874535"
"55";"GASN";2017-09-01;"27.17850759"
"56";"GASA";2017-10-01;"85.558766722903201"
"57";"GASN";2017-10-01;"29.045304823871"
"58";"Gás Total";2017-10-01;"114.60407154677399"
"59";"GASA";2017-10-01;"85.5587667229032"
"60";"Gás Total";2017-10-01;"114.604071546774"
"61";"GASA";2017-11-01;"84.970015506999999"
"62";"GASN";2017-11-01;"28.4400658686667"
"63";"Gás Total";2017-11-01;"113.410081375667"
"64";"GASA";2017-11-01;"84.970015507"
"65";"GASA";2017-12-01;"84.234996062903207"
"66";"GASN";2017-12-01;"29.137698906129"
"67";"Gás Total";2017-12-01;"113.372694969032"
"68";"GASA";2017-12-01;"84.2349960629032"
"69";"GASA";2018-01-01;"84.847573778387101"
"70";"GASN";2018-01-01;"27.572477118387098"
"71";"Gás Total";2018-01-01;"112.420050896774"
"72";"GASA";2018-02-01;"88.649339606785702"
"73";"GASN";2018-02-01;"21.1634575496428"
"74";"Gás Total";2018-02-01;"109.812797156429"
"75";"GASA";2018-02-01;"88.649341232142802"
"76";"Gás Total";2018-02-01;"109.812798781786"
"77";"GASA";2018-03-01;"87.090591842903194"
"78";"GASN";2018-03-01;"19.881607684516101"
"79";"Gás Total";2018-03-01;"106.97219952741899"
"80";"GASA";2018-03-01;"87.090593678064494"
"81";"Gás Total";2018-03-01;"106.972201362581"
"82";"GASA";2018-04-01;"89.011872205000003"
"83";"GASN";2018-04-01;"19.735504958333301"
"84";"Gás Total";2018-04-01;"108.747377163333"
"85";"GASA";2018-05-01;"92.006971214516099"
"86";"GASN";2018-05-01;"19.885418261290301"
"87";"Gás Total";2018-05-01;"111.892389475806"
"88";"GASA";2018-06-01;"88.440514823666604"
"89";"GASN";2018-06-01;"26.4856533216667"
"90";"Gás Total";2018-06-01;"114.92616814533299"
"91";"GASA";2018-06-01;"88.432849352999995"
"92";"GASN";2018-06-01;"26.484787172666699"
"93";"Gás Total";2018-06-01;"114.91763652566701"
"94";"GASA";2018-06-01;"88.437529190000006"
"95";"Gás Total";2018-06-01;"114.92318251166699"
"96";"GASA";2018-07-01;"88.932616979032204"
"97";"GASN";2018-07-01;"27.037072022580599"
"98";"Gás Total";2018-07-01;"115.96968900161301"
"99";"GASA";2018-08-01;"85.1958716819355"
"100";"GASN";2018-08-01;"21.171512886129001"
"101";"Gás Total";2018-08-01;"106.36738456806501"
"102";"GASA";2018-09-01;"87.795934742666702"
"103";"GASN";2018-09-01;"25.106175936666698"
"104";"Gás Total";2018-09-01;"112.90211067933301"
"105";"GASA";2018-10-01;"90.183746057419398"
"106";"GASN";2018-10-01;"26.853390697096799"
"107";"Gás Total";2018-10-01;"117.037136754516"
"108";"GASA";2018-11-01;"88.842747727000003"
"109";"GASN";2018-11-01;"23.509108005333299"
"110";"Gás Total";2018-11-01;"112.35185573233299"
"111";"GASA";2018-11-01;"88.8427496886667"
"112";"Gás Total";2018-11-01;"112.351857694"
"113";"GASA";2018-12-01;"93.274181137419305"
"114";"GASN";2018-12-01;"20.409658565806399"
"115";"Gás Total";2018-12-01;"113.683839703226"
"116";"GASA";2019-01-01;"92.2647566712903"
"117";"GASN";2019-01-01;"20.931900049032201"
"118";"Gás Total";2019-01-01;"113.19665672032301"
"119";"GASA";2019-02-01;"89.587469962142805"
"120";"GASN";2019-02-01;"20.565140768214299"
"121";"Gás Total";2019-02-01;"110.152610730357"
"122";"GASA";2019-03-01;"92.581670366451604"
"123";"GASN";2019-03-01;"18.909641304838701"
"124";"Gás Total";2019-03-01;"111.49131167129001"
"125";"GASA";2019-03-01;"92.581674237419307"
"126";"Gás Total";2019-03-01;"111.49131554225799"
"127";"GASA";2019-04-01;"94.033607283999999"
"128";"GASN";2019-04-01;"18.894523032999999"
"129";"Gás Total";2019-04-01;"112.928130317"
"130";"GASA";2019-05-01;"98.510940365161304"
"131";"GASN";2019-05-01;"19.4282871616129"
"132";"Gás Total";2019-05-01;"117.939227526774"
"133";"GASA";2019-05-01;"98.511129965806404"
"134";"Gás Total";2019-05-01;"117.93941712741901"
"135";"GASA";2019-06-01;"92.040305930333304"
"136";"GASN";2019-06-01;"19.111857668999999"
"137";"Gás Total";2019-06-01;"111.15216359933299"
"138";"GASA";2019-07-01;"100.704296007097"
"139";"GASN";2019-07-01;"23.452390829032201"
"140";"Gás Total";2019-07-01;"124.156686836129"
"141";"GASA";2019-08-01;"107.59957095903199"
"142";"GASN";2019-08-01;"25.723139259032301"
"143";"Gás Total";2019-08-01;"133.322710218065"
"144";"GASA";2019-08-01;"107.599664166129"
"145";"Gás Total";2019-08-01;"133.322803425161"
"146";"GASA";2019-09-01;"102.903797009333"
"147";"GASN";2019-09-01;"25.952551918333299"
"148";"Gás Total";2019-09-01;"128.856348927667"
"149";"GASA";2019-10-01;"106.116400765484"
"150";"GASN";2019-10-01;"25.478259905161298"
"151";"Gás Total";2019-10-01;"131.594660670645"
"152";"GASA";2019-11-01;"110.587249003667"
"153";"GASN";2019-11-01;"26.009605332333301"
"154";"Gás Total";2019-11-01;"136.59685433600001"
"155";"GASA";2019-12-01;"111.910465947742"
"156";"GASN";2019-12-01;"25.8703816696774"
"157";"Gás Total";2019-12-01;"137.780847617419"
"158";"GASA";2019-12-01;"111.927529607097"
"159";"GASN";2019-12-01;"25.851482608709698"
"160";"Gás Total";2019-12-01;"137.77901221580601"
"161";"GASA";2020-01-01;"111.60642801935499"
"162";"GASN";2020-01-01;"27.146490074516102"
"163";"Gás Total";2020-01-01;"138.75291809387099"
"164";"GASA";2020-01-01;"111.606382977419"
"165";"Gás Total";2020-01-01;"138.75287305193501"
"166";"GASA";2020-02-01;"105.872977705517"
"167";"GASN";2020-02-01;"23.062257192069001"
"168";"Gás Total";2020-02-01;"128.93523489758601"
"169";"GASA";2020-03-01;"106.97996705322601"
"170";"GASN";2020-03-01;"14.7693720470968"
"171";"Gás Total";2020-03-01;"121.749339100323"
"172";"GASA";2020-04-01;"110.560868492667"
"173";"GASN";2020-04-01;"13.444934752"
"174";"Gás Total";2020-04-01;"124.00580324466701"
"175";"GASA";2020-05-01;"100.042554264194"
"176";"GASN";2020-05-01;"14.324577943871001"
"177";"Gás Total";2020-05-01;"114.367132208065"
"178";"GASA";2020-06-01;"110.286178831"
"179";"GASN";2020-06-01;"18.186372167666701"
"180";"Gás Total";2020-06-01;"128.472550998667"
"181";"GASA";2020-07-01;"112.304323348065"
"182";"GASN";2020-07-01;"18.027931173548399"
"183";"Gás Total";2020-07-01;"130.33225452161301"
"184";"GASA";2020-08-01;"115.870494624839"
"185";"GASN";2020-08-01;"17.645398240322599"
"186";"Gás Total";2020-08-01;"133.51589286516099"
"187";"GASA";2020-08-01;"115.870767130323"
"188";"Gás Total";2020-08-01;"133.51616537064501"
"189";"GASA";2020-09-01;"107.663943362"
"190";"GASN";2020-09-01;"17.591973347666698"
"191";"Gás Total";2020-09-01;"125.25591670966701"
"192";"GASA";2020-10-01;"107.543565923548"
"193";"GASN";2020-10-01;"22.5072436741935"
"194";"Gás Total";2020-10-01;"130.05080959774199"
"195";"GASA";2020-10-01;"107.542319997742"
"196";"Gás Total";2020-10-01;"130.049563671935"
"197";"GASA";2020-11-01;"103.821405414333"
"198";"GASN";2020-11-01;"22.576476303666698"
"199";"Gás Total";2020-11-01;"126.39788171799999"
"200";"GASA";2020-12-01;"104.411092187419"
"201";"GASN";2020-12-01;"22.566197286451601"
"202";"Gás Total";2020-12-01;"126.977289473871"
"203";"GASA";2021-01-01;"112.923633849677"
"204";"GASN";2021-01-01;"23.473947341290302"
"205";"Gás Total";2021-01-01;"136.397581190968"
"206";"GASA";2021-02-01;"110.92859786"
"207";"GASN";2021-02-01;"20.1581858342857"
"208";"Gás Total";2021-02-01;"131.086783694286"
"209";"GASA";2021-02-01;"110.92857049535699"
"210";"Gás Total";2021-02-01;"131.08675632964301"
"211";"GASA";2021-03-01;"111.468897237097"
"212";"GASN";2021-03-01;"14.617407378064501"
"213";"Gás Total";2021-03-01;"126.086304615161"
"214";"GASA";2021-03-01;"111.468900401613"
"215";"Gás Total";2021-03-01;"126.086307779677"
"216";"GASA";2021-04-01;"116.795420427333"
"217";"GASN";2021-04-01;"14.636380948333301"
"218";"Gás Total";2021-04-01;"131.43180137566699"
"219";"GASA";2021-04-01;"116.795662995"
"220";"GASN";2021-04-01;"14.6364295816667"
"221";"Gás Total";2021-04-01;"131.432092576667"
"222";"GASA";2021-05-01;"114.275615646774"
"223";"GASN";2021-05-01;"20.278490481612899"
"224";"Gás Total";2021-05-01;"134.55410612838699"
"225";"GASA";2021-06-01;"114.143645619333"
"226";"GASN";2021-06-01;"21.606384181666701"
"227";"Gás Total";2021-06-01;"135.75002980100001"
"228";"GASA";2021-07-01;"117.577067214839"
"229";"GASN";2021-07-01;"21.556429528064498"
"230";"Gás Total";2021-07-01;"139.13349674290299"
"231";"GASA";2021-07-01;"117.621592024516"
"232";"Gás Total";2021-07-01;"139.17802155258099"
"233";"GASA";2021-07-01;"117.62159202451613"
"234";"GASN";2021-07-01;"21.556429528064516"
"235";"Gás Total";2021-07-01;"139.17802155258065"
"236";"GASA";2021-08-01;"114.412748213871"
"237";"GASN";2021-08-01;"22.18164951"
"238";"Gás Total";2021-08-01;"136.594397723871"
"239";"GASA";2021-08-01;"114.41407647451599"
"240";"Gás Total";2021-08-01;"136.59572598451601"
"241";"GASA";2021-08-01;"114.41407647451618"
"242";"GASN";2021-08-01;"22.181649510000003"
"243";"Total";2021-08-01;"136.59572598451618"
"244";"Gás Total";2021-08-01;"136.59572598451618"
"245";"GASA";2021-09-01;"116.46337072199999"
"246";"GASN";2021-09-01;"16.909514948999998"
"247";"Gás Total";2021-09-01;"133.37288567100001"
"248";"GASN";2021-09-01;"16.919852522333301"
"249";"Gás Total";2021-09-01;"133.38322324433301"
"250";"GASA";2021-09-01;"116.46337072200005"
"251";"GASN";2021-09-01;"16.919852522333336"
"252";"Total";2021-09-01;"133.38322324433338"
"253";"Gás Total";2021-09-01;"133.38322324433338"
"254";"GASA";2021-10-01;"110.693614972258"
"255";"GASN";2021-10-01;"21.009644595161301"
"256";"Gás Total";2021-10-01;"131.703259567419"
"257";"GASA";2021-10-01;"110.694510485161"
"258";"Gás Total";2021-10-01;"131.70415508032301"
"259";"GASA";2021-10-01;"110.69451048516125"
"260";"GASN";2021-10-01;"21.009644595161294"
"261";"Total";2021-10-01;"131.70415508032252"
"262";"Gás Total";2021-10-01;"131.70415508032252"
"263";"GASA";2021-11-01;"114.244503242333"
"264";"GASN";2021-11-01;"22.340453848333301"
"265";"Gás Total";2021-11-01;"136.58495709066699"
"266";"GASA";2021-11-01;"114.24450324233328"
"267";"GASN";2021-11-01;"22.340453848333333"
"268";"Total";2021-11-01;"136.58495709066659"
"269";"Gás Total";2021-11-01;"136.58495709066659"
"270";"GASA";2021-12-01;"115.19851452258099"
"271";"GASN";2021-12-01;"17.040037391290301"
"272";"Gás Total";2021-12-01;"132.23855191387099"
"273";"GASA";2021-12-01;"115.19851452258068"
"274";"GASN";2021-12-01;"17.040037391290323"
"275";"Total";2021-12-01;"132.23855191387099"
"276";"GASA";2022-01-01;"122.99121943129001"
"277";"GASN";2022-01-01;"14.440096266129"
"278";"Gás Total";2022-01-01;"137.431315697419"
"279";"GASA";2022-01-01;"122.987814882903"
"280";"GASN";2022-01-01;"14.443500814516099"
"281";"GASA";2022-01-01;"122.99121943129029"
"282";"GASN";2022-01-01;"14.440096266129027"
"283";"Total";2022-01-01;"137.43131569741931"
"284";"Gás Total";2022-01-01;"137.43131569741931"
"285";"GASA";2022-02-01;"119.091181519286"
"286";"GASN";2022-02-01;"14.1290439996428"
"287";"Gás Total";2022-02-01;"133.220225518929"
"288";"GASA";2022-02-01;"119.09118151928581"
"289";"GASN";2022-02-01;"14.12904399964286"
"290";"Total";2022-02-01;"133.22022551892866"
"291";"Gás Total";2022-02-01;"133.22022551892866"
"292";"GASA";2022-03-01;"119.93959090967699"
"293";"GASN";2022-03-01;"14.5032691906452"
"294";"Gás Total";2022-03-01;"134.442860100323"
"295";"GASN";2022-03-01;"14.5027691906452"
"296";"Gás Total";2022-03-01;"134.44236010032299"
"297";"GASA";2022-03-01;"119.93901434193501"
"298";"Gás Total";2022-03-01;"134.442283532581"
"299";"GASA";2022-03-01;"119.93959090967745"
"300";"GASN";2022-03-01;"14.502769190645163"
"301";"Total";2022-03-01;"134.44236010032262"
"302";"Gás Total";2022-03-01;"134.44236010032262"
"303";"GASA";2022-04-01;"121.607716935667"
"304";"GASN";2022-04-01;"15.235003407000001"
"305";"Gás Total";2022-04-01;"136.84272034266701"
"306";"GASN";2022-04-01;"15.293625018666701"
"307";"Gás Total";2022-04-01;"136.90134195433299"
"308";"GASA";2022-04-01;"121.60771693566667"
"309";"GASN";2022-04-01;"15.293625018666663"
"310";"Total";2022-04-01;"136.90134195433333"
"311";"Gás Total";2022-04-01;"136.90134195433333"
"312";"GASA";2022-05-01;"116.83594575806499"
"313";"GASN";2022-05-01;"14.877133917741901"
"314";"Gás Total";2022-05-01;"131.713079675806"
"315";"GASA";2022-05-01;"116.83594575806457"
"316";"GASN";2022-05-01;"14.87713391774194"
"317";"Total";2022-05-01;"131.71307967580651"
"318";"Gás Total";2022-05-01;"131.71307967580651"
"319";"GASA";2022-06-01;"112.100966716"
"320";"GASN";2022-06-01;"20.801880058666701"
"321";"Gás Total";2022-06-01;"132.90284677466701"
"322";"GASA";2022-06-01;"112.10108852599997"
"323";"GASN";2022-06-01;"20.801880058666669"
"324";"Total";2022-06-01;"132.90296858466661"
"325";"Gás Total";2022-06-01;"132.90296858466661"
"326";"GASN";2022-06-01;"20.801880058666658"
"327";"GASA";2022-07-01;"117.82855880870976"
"328";"GASN";2022-07-01;"17.801148714516131"
"329";"Total";2022-07-01;"135.6297075232259"
"330";"Gás Total";2022-07-01;"135.6297075232259"
"331";"GASA";2022-08-01;"121.12936283516134"
"332";"GASN";2022-08-01;"18.83346219451612"
"333";"Total";2022-08-01;"139.96282502967748"
"334";"GASN";2022-08-01;"18.83346219451613"
"335";"Gás Total";2022-08-01;"139.96282502967748"
"336";"GASA";2022-09-01;"124.36473873833337"
"337";"GASN";2022-09-01;"18.705572988666663"
"338";"Total";2022-09-01;"143.07031172700002"
"339";"GASN";2022-09-01;"18.705572988666667"
"340";"Gás Total";2022-09-01;"143.07031172700002"
"341";"GASA";2022-10-01;"131.05870408322582"
"342";"GASN";2022-10-01;"17.692116777096778"
"343";"Total";2022-10-01;"148.75082086032259"
"344";"GASN";2022-10-01;"17.692116777096775"
"345";"Gás Total";2022-10-01;"148.75082086032259"
"346";"GASA";2022-11-01;"122.94826579499993"
"347";"GASN";2022-11-01;"17.431753411000003"
"348";"Total";2022-11-01;"140.38001920599993"
"349";"Gás Total";2022-11-01;"140.38001920599993"
"350";"GASA";2022-12-01;"122.14118910161284"
"351";"GASN";2022-12-01;"18.002114776774199"
"352";"Total";2022-12-01;"140.14330387838706"
"353";"Gás Total";2022-12-01;"140.14330387838706"
"354";"GASA";2023-01-01;"127.47507245161285"
"355";"GASN";2023-01-01;"15.768252451612902"
"356";"Total";2023-01-01;"143.24332490322573"
"357";"Gás Total";2023-01-01;"143.24332490322573"
"358";"GASN";2023-01-01;"15.646641870967741"
"359";"Gás Total";2023-01-01;"143.12171432258057"
"360";"GASA";2023-02-01;"132.74995878571428"
"361";"GASN";2023-02-01;"13.789541821428566"
"362";"Total";2023-02-01;"146.53950060714286"
"363";"GASA";2023-02-01;"132.74996485714286"
"364";"Gás Total";2023-02-01;"146.53950667857143"
"365";"Total";2023-02-01;"146.53950667857143"
"366";"GASA";2023-03-01;"124.52973654838712"
"367";"GASN";2023-03-01;"14.001043741935485"
"368";"Total";2023-03-01;"138.53078029032261"
"369";"Gás Total";2023-03-01;"138.53078029032261"
"370";"GASA";2023-04-01;"125.75213943333333"
"371";"GASN";2023-04-01;"15.849091899999998"
"372";"Total";2023-04-01;"141.60123133333332"
"373";"Gás Total";2023-04-01;"141.60123133333332"
"374";"GASA";2023-04-01;"125.75211116666665"
"375";"Gás Total";2023-04-01;"141.60120306666664"
"376";"GASA";2023-05-01;"129.75064183870973"
"377";"GASN";2023-05-01;"14.659086580645159"
"378";"Gás Total";2023-05-01;"144.40972841935488"
"379";"Total";2023-05-01;"144.40972841935488"
"380";"GASA";2023-05-01;"129.75063083870972"
"381";"Gás Total";2023-05-01;"144.40971741935488"
"382";"GASA";2023-06-01;"132.308785"
"383";"GASN";2023-06-01;"19.949106566666671"
"384";"Gás Total";2023-06-01;"152.25789156666667"
"385";"Total";2023-06-01;"152.25789156666667"
"386";"GASA";2023-06-01;"132.30878186666666"
"387";"Total";2023-06-01;"152.25788843333333"
"388";"GASA";2023-07-01;"137.02685870967736"
"389";"GASN";2023-07-01;"17.0489930967742"
"390";"Gás Total";2023-07-01;"154.07585180645157"
"391";"Total";2023-07-01;"154.07585180645157"
"392";"GASA";2023-08-01;"131.71277596774195"
"393";"GASN";2023-08-01;"16.147167322580646"
"394";"Gás Total";2023-08-01;"147.85994329032258"
"395";"Total";2023-08-01;"147.85994329032258"
"396";"GASA";2023-08-01;"131.71275283870966"
"397";"Gás Total";2023-08-01;"147.85992016129029"
"398";"GASA";2023-09-01;"143.92374073333349"
"399";"GASN";2023-09-01;"14.065104366666663"
"400";"Gás Total";2023-09-01;"157.98884510000016"
"401";"Total";2023-09-01;"157.98884510000016"
"402";"GASA";2023-09-01;"143.89448646666682"
"403";"GASN";2023-09-01;"14.09435863333333"
"404";"GASA";2023-09-01;"143.92372423333347"
"405";"Gás Total";2023-09-01;"157.98882860000015"
"406";"GASA";2023-10-01;"136.79446087096775"
"407";"GASN";2023-10-01;"15.710882"
"408";"Gás Total";2023-10-01;"152.50534287096772"
"409";"Total";2023-10-01;"152.50534287096772"
"410";"GASA";2023-10-01;"136.79443390322578"
"411";"Gás Total";2023-10-01;"152.50531590322581"
"412";"GASA";2023-11-01;"144.50909949999996"
"413";"GASN";2023-11-01;"17.614004399999999"
"414";"Gás Total";2023-11-01;"162.12310389999996"
"415";"Total";2023-11-01;"162.12310389999996"
"416";"GASA";2023-11-01;"144.50906639999997"
"417";"Gás Total";2023-11-01;"162.12307079999997"
"418";"GASA";2023-12-01;"140.91683193548388"
"419";"GASN";2023-12-01;"15.701294064516134"
"420";"Gás Total";2023-12-01;"156.61812600000002"
"421";"GASA";2023-12-01;"140.92846712903224"
"422";"Gás Total";2023-12-01;"156.62976119354838"
"423";"GASA";2023-12-01;"140.92849748387098"
"424";"Total";2023-12-01;"156.62979154838712"
"425";"GASA";2024-01-01;"135.41180851612907"
"426";"GASN";2024-01-01;"18.515622258064518"
"427";"Gás Total";2024-01-01;"153.92743077419357"
"428";"GASA";2024-01-01;"135.41186538709684"
"429";"Total";2024-01-01;"153.92748764516134"
"430";"GASA";2024-02-01;"134.02720555172417"
"431";"GASN";2024-02-01;"14.607449206896552"
"432";"Total";2024-02-01;"148.63465475862071"
"433";"GASA";2024-03-01;"134.91648690322583"
"434";"GASN";2024-03-01;"9.0658147419354798"
"435";"Total";2024-03-01;"143.98230164516133"
