Bacia,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),Nº Campos produtores,mes
Santos,2215294.93315227,99698.3850658064,2842378.83252303,25,2022-03-01
Campos,668976.863265267,13195.4193703226,751973.543974916,29,2022-03-01
Solimões,13667.318872271,13724.1032845161,99989.3209522534,7,2022-03-01
Potiguar,35649.2992154272,896.977172580646,41291.1152052966,72,2022-03-01
Recôncavo,20515.7715884855,2169.38649709677,34160.8004717898,78,2022-03-01
Espírito Santo,15811.0535955926,788.90197967742,20773.0971563874,33,2022-03-01
Camamu,255.789732240968,2892.71565580645,18450.4215912889,1,2022-03-01
Sergipe,7779.11672045618,50.360845483871,8095.87686998908,17,2022-03-01
Alagoas,3056.55144647048,569.282848064516,6637.23239705515,11,2022-03-01
Amazonas,152.682500087742,349.35890516129,2350.08363536028,1,2022-03-01
Tucano Sul,6.6306608908129,76.7825916129032,489.578573443568,5,2022-03-01
Parnaíba,1.50633442307419,30.5842067741936,193.875184033465,5,2022-03-01
Barreirinhas,15.9882912258065,0.101677419354839,16.6278228748387,1,2022-03-01
Total Geral,2981183.50537511,134442.360100323,3826800.40635772,285,2022-03-01
Santos,2293032.9704859657,102632.41687419356,2938571.372465437,27,2022-08-01
Campos,717646.0705908303,11923.264950967741,792641.141712077,29,2022-08-01
Solimões,13372.823881158065,13198.637418709677,96389.74550373238,7,2022-08-01
Potiguar,32687.25991487578,910.2331516129035,38412.45349422214,74,2022-08-01
Recôncavo,19402.501828439752,2377.4166390322575,34356.00077879126,72,2022-08-01
Parnaíba,29.66373409783226,4586.693747741936,28879.09593558254,6,2022-08-01
Camamu,235.29996602612906,2560.394387096774,16339.69418593129,1,2022-08-01
Espírito Santo,7801.503990464902,651.7012967741935,11900.58132392819,27,2022-08-01
Alagoas,1741.0035982582192,552.400174516129,5215.495739931513,11,2022-08-01
Amazonas,168.03369037173547,390.39918064516127,2623.570360785477,1,2022-08-01
Tucano Sul,17.773775532564517,149.80238129032261,960.0022913962486,5,2022-08-01
Sergipe,473.8155791540193,5.614698064516128,509.1309631871935,7,2022-08-01
Paraná,0.08851612903225807,23.761612903225807,149.45603045483873,1,2022-08-01
Barreirinhas,13.918740838709676,0.08851612903225807,14.475490472258063,1,2022-08-01
Total,3086622.6397760133,139962.82502967742,3966962.21627593,269,2022-08-01
Santos,2316461.9441046785,104262.26609258067,2972251.7879964532,29,2022-12-01
Campos,681128.5379962503,11000.080604516128,750316.9549833419,30,2022-12-01
Solimões,12120.202666364527,13315.796413548387,95874.03210626531,7,2022-12-01
Potiguar,33150.47467463243,1025.5196499999997,39600.798424398934,70,2022-12-01
Recôncavo,18345.47820127904,2482.5909841935486,33960.50379956945,70,2022-12-01
Parnaíba,14.642768983693546,3850.895953225806,24236.046644542905,6,2022-12-01
Camamu,116.75835172129032,2005.1311703225806,12728.652438127961,1,2022-12-01
Espírito Santo,4985.457133014343,574.0142987096775,8595.898009181461,27,2022-12-01
Alagoas,2327.989975711322,849.5511287096775,7671.505160580739,7,2022-12-01
Amazonas,761.6649436862515,601.8009680645162,4546.878690628127,2,2022-12-01
Sergipe,4272.714883388194,37.707532903225804,4509.888100918233,15,2022-12-01
Tucano Sul,5.685188825438709,110.57656548387097,701.190776171545,6,2022-12-01
Paraná,0,26.903225806451612,169.21617870967742,1,2022-12-01
Barreirinhas,73.7936740967742,0.4692903225806452,76.74542106064516,1,2022-12-01
Total,3073765.344562632,140143.30387838715,3955240.09872995,272,2022-12-01
Santos,2254982.3497371296,100332.77154741934,2886056.419543804,27,2022-07-01
Campos,630213.01669201,10711.155799032256,697584.1515483212,31,2022-07-01
Solimões,12960.47002447097,13212.969999999998,96067.54086017096,7,2022-07-01
Potiguar,33073.13334682754,901.0902764516129,38740.819978555635,73,2022-07-01
Recôncavo,19691.402910073106,2221.0380874193547,33661.31048270424,72,2022-07-01
Parnaíba,26.34079704026774,3361.3946948387097,21168.87476258373,6,2022-07-01
Camamu,213.91542361451613,2897.25970967742,18437.128518140646,1,2022-07-01
Espírito Santo,7755.165531799343,481.5880793548388,10784.263049206204,28,2022-07-01
Alagoas,2896.8533734675743,895.0474970967741,8526.532071181833,9,2022-07-01
Amazonas,209.19432874999353,464.67951032258065,3131.9401595720647,1,2022-07-01
Tucano Sul,16.66392638423871,133.08164354838706,853.7221787913194,5,2022-07-01
Sergipe,470.9930776407936,5.669839354838709,506.6552899132517,8,2022-07-01
Paraná,0,11.855161290322581,74.56671203548386,1,2022-07-01
Barreirinhas,16.617272225806452,0.10567741935483871,17.28196311483871,1,2022-07-01
Total,2962526.1164414342,135629.70752322578,3815611.2071180954,270,2022-07-01
Santos,2292368.938740481,103976.36616033332,2946360.5263794074,28,2022-11-01
Campos,721411.1542479845,12439.013579333336,799650.1862494111,32,2022-11-01
Solimões,12588.176236106732,13522.336407,97641.1029922194,7,2022-11-01
Potiguar,33938.40292408816,984.3046930000002,40129.49242516649,69,2022-11-01
Recôncavo,19381.438973626315,2254.0751206666678,33559.143208346744,70,2022-11-01
Parnaíba,21.25826838895,3311.0446016666665,20847.09971439797,6,2022-11-01
Camamu,166.61056742966667,1729.6874376666667,11046.015909739845,1,2022-11-01
Espírito Santo,7693.4787172545975,502.65036833333335,10855.054030501278,30,2022-11-01
Alagoas,2403.3201628071834,855.1451456666668,7782.020651472838,8,2022-11-01
Sergipe,4995.584001904644,27.829968666666666,5170.629217123931,16,2022-11-01
Amazonas,488.17458356245993,616.7265223333333,4367.267230999883,2,2022-11-01
Tucano Sul,8.52152054873667,132.38813466666667,841.2177338564834,6,2022-11-01
Paraná,0,28.35,178.3161135,1,2022-11-01
Barreirinhas,15.892253266666666,0.10106666666666667,16.527943397333335,1,2022-11-01
Total,3095480.95119745,140380.019206,3978444.5997995394,277,2022-11-01
Santos,2422041.322338281,111036.45523838709,3120439.52886124,27,2022-10-01
Campos,743463.9951860914,12992.298896451613,825183.0867079819,32,2022-10-01
Solimões,13331.182534920188,13863.504719999999,100529.9931578234,7,2022-10-01
Potiguar,34171.93087289943,960.8282070967739,40215.357738178776,74,2022-10-01
Recôncavo,19074.44342102901,2273.5315616129024,33374.52497257748,72,2022-10-01
Parnaíba,25.041123455112906,3625.7661958064523,22830.421599500492,6,2022-10-01
Camamu,194.7483435735484,1947.3494548387098,12443.206418112615,1,2022-10-01
Espírito Santo,7786.604680421016,457.71632354838727,10665.553389438895,29,2022-10-01
Alagoas,2500.1530115648384,910.1026222580646,8224.525586069836,8,2022-10-01
Amazonas,209.69515994367094,517.5380838709677,3464.911375256123,1,2022-10-01
Sergipe,1693.5635402402868,13.898767419354838,1780.9841465422196,18,2022-10-01
Tucano Sul,11.933768106403226,125.32420838709676,800.1992272616483,6,2022-10-01
Paraná,0,26.42258064516129,166.19301196774194,1,2022-10-01
Barreirinhas,13.208600999999998,0.084,13.73694504,1,2022-10-01
Total,3244517.8225815264,148750.8208603226,4180132.2231369917,283,2022-10-01
Santos,2310563.4255325687,104494.70727066668,2967815.2802706813,27,2022-09-01
Campos,761215.2433989265,13787.017398,847932.9632990411,31,2022-09-01
Solimões,12885.537042393491,12745.834885666667,93054.41676460856,7,2022-09-01
Potiguar,33017.49436889599,960.7302686666669,39060.305220058304,73,2022-09-01
Recôncavo,18593.011971522392,2409.4724519999986,33748.13589483652,72,2022-09-01
Parnaíba,32.66067496973,4918.273933666667,30967.66924568567,6,2022-09-01
Espírito Santo,8018.571822078794,567.5681153333335,11588.467429583545,28,2022-09-01
Camamu,131.47191488366667,1702.2923633333335,10838.5674447013,1,2022-09-01
Alagoas,2695.7510747208366,893.4198506666667,8315.192185642543,9,2022-09-01
Amazonas,185.67099380012667,428.5975613333333,2881.46822105014,1,2022-09-01
Tucano Sul,15.00956858711,139.10532666666668,889.9556433083767,5,2022-09-01
Sergipe,478.2714454457266,5.938567666666668,515.6239077412034,6,2022-09-01
Paraná,0,17.255999999999997,108.53696135999999,1,2022-09-01
Barreirinhas,15.368102433333332,0.09773333333333332,15.982826530666667,1,2022-09-01
Total,3147847.487911226,143070.31172700002,4047732.5653148293,268,2022-09-01
Santos,2298690.784906505,104040.73303333335,2953087.2279468956,28,2023-04-01
Campos,769912.7369182438,12928.102400000002,851228.0446747878,30,2023-04-01
Solimões,12367.000520722,14407.531233333333,102987.63454745433,7,2023-04-01
Potiguar,31591.388609960326,971.6870333333335,37703.11542909066,67,2023-04-01
Recôncavo,11013.915627488666,2222.4182666666666,24992.504265351334,53,2023-04-01
Parnaíba,11.766347567,2323.555,14626.485822116998,7,2023-04-01
Camamu,197.889373239,2003.8650333333333,12801.819698549334,1,2023-04-01
Espírito Santo,8617.144530166664,604.09759999999994,12416.803655622663,32,2023-04-01
Alagoas,2210.2765535393337,1300.5777666666665,10390.663596097003,9,2023-04-01
Sergipe,6288.453707303666,51.9063,6614.934472106668,16,2023-04-01
Amazonas,211.95150145600002,581.2629,3867.9847025049994,1,2023-04-01
Tucano Sul,16.063336098666667,137.66996666666668,881.9812691383335,6,2023-04-01
Paraná,0,27.461000000000002,172.72447241,1,2023-04-01
Barreirinhas,57.20582195,0.3638,59.494054828,1,2023-04-01
Total,3141186.5777542396,141601.23133333336,4031831.418606953,259,2023-04-01
Santos,2655121.688777196,118071.55709677421,3397769.3493200573,28,2023-12-01
Campos,836472.3292144727,12893.229612903226,917568.2937660075,31,2023-12-01
Solimões,12767.541262061291,14018.889580645158,100943.693135299,7,2023-12-01
Recôncavo,20040.557926596448,2889.7249032258055,38216.378520155165,72,2023-12-01
Potiguar,30610.662964361287,943.625,36545.88492561129,68,2023-12-01
Espírito Santo,18950.814460281286,768.024290322581,23781.54132179516,26,2023-12-01
Parnaíba,29.053849772580644,3216.619225806451,20260.97762244226,6,2023-12-01
Camamu,145.84649110322582,1865.0707741935482,11876.787297333547,2,2023-12-01
Sergipe,8203.298230068065,60.15593548387098,8581.667634633872,18,2023-12-01
Alagoas,2138.0531136009677,960.559322580645,8179.7887463619345,10,2023-12-01
Amazonas,263.14880994096774,780.5408387096774,5172.602382665483,1,2023-12-01
Tucano Sul,6.079811504838711,123.25490322580644,781.3297343635484,6,2023-12-01
Paraná,0,26.74483870967742,168.21995396451615,1,2023-12-01
Barreirinhas,20.39115822580645,0.1296774193548387,21.206804554838712,1,2023-12-01
Total,3584769.466069185,156618.126,4569867.721165245,277,2023-12-01
Santos,2478960.01426613,112757.72671428572,3188184.691330913,30,2023-02-01
Campos,712868.0420942911,12394.021999999999,790824.0856101107,31,2023-02-01
Solimões,12380.0616256775,14222.55667857143,101837.24084812286,7,2023-02-01
Potiguar,32145.237844486077,932.7983571428568,38012.36227922678,68,2023-02-01
Recôncavo,9675.703229612143,2132.3307857142854,23087.658728905717,48,2023-02-01
Camamu,218.33547889714285,1795.5805357142856,11512.195888238213,1,2023-02-01
Espírito Santo,7643.758544049285,513.4874285714286,10873.49690715214,29,2023-02-01
Alagoas,2285.2155662885716,974.2106071428572,8412.815185201787,8,2023-02-01
Sergipe,5083.945373049642,41.21910714285713,5343.205725347856,16,2023-02-01
Amazonas,221.15713259035715,605.5835,4030.162286725357,1,2023-02-01
Tucano Sul,3.9508992242857146,133.39671428571427,842.9908867057144,6,2023-02-01
Paraná,0,25.666785714285712,161.43920545357145,1,2023-02-01
Barreirinhas,69.95167264285713,0.44485714285714284,72.74973954857143,1,2023-02-01
Parnaíba,1.4289100503571426,10.476535714285715,67.32432915142857,4,2023-02-01
Total,3261556.80263699,146539.50060714284,4183262.4189508036,251,2023-02-01
Santos,2405134.566578204,109193.27719354835,3091939.5334029556,29,2023-01-01
Campos,799219.7423385595,11888.819387096775,873998.1574077148,31,2023-01-01
Solimões,11930.164856861615,12790.583516129034,92380.50496244515,7,2023-01-01
Potiguar,31771.88281703096,957.4290000000004,37793.92931552096,69,2023-01-01
Recôncavo,12002.632395533872,2227.4688064516126,26012.987969041296,59,2023-01-01
Parnaíba,24.46533192903226,2712.1283870967745,17083.237582374197,6,2023-01-01
Espírito Santo,6730.449335154195,490.8408064516128,9817.744747981613,28,2023-01-01
Camamu,106.99352314483869,1299.2867419354839,8279.260265438064,1,2023-01-01
Alagoas,2336.702965448387,804.9151612903224,7399.466396083871,6,2023-01-01
Amazonas,1318.5557976719356,693.554064516129,5680.879088206129,2,2023-01-01
Sergipe,3709.575736206452,40.46254838709677,3964.0774776770972,15,2023-01-01
Tucano Sul,5.7990019229032255,116.27677419354839,737.1578190132258,6,2023-01-01
Paraná,0,27.701612903225808,174.23788185483872,1,2023-01-01
Barreirinhas,91.34427296774193,0.5809032258064516,94.99804388645161,1,2023-01-01
Total,3274382.8749506343,143243.3249032258,4175356.1723601925,261,2023-01-01
Santos,2569250.4460972394,115676.5802580645,3296834.1573702157,28,2023-07-01
Campos,847535.4888059895,13853.14880645162,934669.1627002964,31,2023-07-01
Solimões,11417.900411780967,13122.496032258066,93955.90718043808,7,2023-07-01
Potiguar,35789.435853533876,1145.1842903225804,42992.427454647746,67,2023-07-01
Recôncavo,18443.16186621033,2432.7891290322586,33744.94325788872,67,2023-07-01
Espírito Santo,19405.93983655677,891.813451612903,25015.277002646126,25,2023-07-01
Parnaíba,43.3548487416129,2958.8774516129033,18654.13183267097,7,2023-07-01
Alagoas,3184.1215595558065,1390.4544193548384,11929.815670958063,10,2023-07-01
Camamu,166.38434393,1734.5374516129032,11076.295352459354,1,2023-07-01
Sergipe,7216.676807394193,49.433419354838705,7527.603622786451,16,2023-07-01
Amazonas,222.63654952516129,669.9371935483871,4436.414208877743,1,2023-07-01
Tucano Sul,8.85848724516129,122.44106451612903,778.9895192493549,6,2023-07-01
Paraná,0.23690322580645162,27.921935483870968,175.62366902580646,1,2023-07-01
Barreirinhas,37.25190696774193,0.23690322580645162,38.74198324645161,1,2023-07-01
Total,3512721.6573746703,154075.85180645162,4481829.490825405,268,2023-07-01
Santos,2484799.457232085,111252.7485,3184558.1072748704,30,2023-06-01
Campos,796089.1090121346,12645.081999999999,875624.2722265548,30,2023-06-01
Solimões,12057.737272152668,14355.359433333335,102350.220589527,7,2023-06-01
Potiguar,33549.77504582634,1069.2001999999998,40274.84115578835,67,2023-06-01
Parnaíba,41.034301119333335,5634.546166666667,35481.259125681005,7,2023-06-01
Recôncavo,17217.862802197677,2447.8820333333338,32614.575694278,66,2023-06-01
Espírito Santo,14062.047288111331,743.8636000000001,18740.807998027325,26,2023-06-01
Camamu,174.005077726,1810.7421,11563.228845727,1,2023-06-01
Alagoas,2332.7758447976667,1383.9586000000004,11037.61248666367,10,2023-06-01
Sergipe,5956.923692692999,50.810066666666664,6276.509358113667,16,2023-06-01
Amazonas,228.64151229099997,700.7905666666667,4636.481026416667,1,2023-06-01
Tucano Sul,9.4976131,134.7089,856.7909994090002,6,2023-06-01
Paraná,0,27.87066666666667,175.3011979066667,1,2023-06-01
Barreirinhas,51.1990534,0.3256,53.247015536,1,2023-06-01
Total,3366570.0657476345,152257.88843333334,4324243.2549944995,269,2023-06-01
Santos,2430140.6699944134,110126.55516129031,3122815.7779134493,30,2023-05-01
Campos,695239.7651640185,11743.585032258063,769104.6837357655,30,2023-05-01
Solimões,12096.107088017743,13856.218774193549,99249.09049612806,7,2023-05-01
Potiguar,32065.99494132225,999.7253225806453,38354.07727254321,68,2023-05-01
Recôncavo,13415.151867692903,2328.0519999999997,28058.156617812903,68,2023-05-01
Camamu,182.75347300645163,2259.8617096774196,14396.854253152582,1,2023-05-01
Espírito Santo,9085.113766094515,800.4236774193547,14119.626616563548,27,2023-05-01
Alagoas,2084.2993828554836,1386.009870967742,10802.038129367094,9,2023-05-01
Sergipe,6692.810909217097,52.13006451612903,7020.699110311291,16,2023-05-01
Amazonas,222.96706889580645,661.2869677419355,4382.33645146871,1,2023-05-01
Tucano Sul,9.97036333548387,124.07312903225805,790.3667710538709,6,2023-05-01
Parnaíba,1.2279332296774192,43.7656129032258,276.5053229245161,6,2023-05-01
Paraná,0,27.690645161290323,174.1688968419355,1,2023-05-01
Barreirinhas,55.106851483870976,0.35045161290322585,57.31112554322581,1,2023-05-01
Total,3201291.9388035825,144409.72841935483,4109601.692712926,271,2023-05-01
Santos,2290785.2725502485,103520.71506451616,2941910.901370192,29,2023-03-01
Campos,751877.2891864132,12806.032387096775,832424.7997550984,30,2023-03-01
Solimões,12541.176884177095,14510.253096774193,103807.91191479837,7,2023-03-01
Potiguar,32384.22016818258,994.7610967741937,38641.07846228388,68,2023-03-01
Recôncavo,9943.266022415484,2112.077903225806,23227.834738904185,50,2023-03-01
Camamu,157.1058596945161,2028.2731612903226,12914.558672310002,1,2023-03-01
Espírito Santo,8279.648204687095,513.7458064516129,11511.011715564517,30,2023-03-01
Alagoas,2441.949747487097,1165.0548709677419,9769.92352544871,9,2023-03-01
Sergipe,6647.411466431289,53.23567741935484,6982.253762620322,16,2023-03-01
Amazonas,229.5669056596774,623.2837096774193,4149.903015625806,1,2023-03-01
Tucano Sul,9.66114816,127.50206451612904,811.6249085741937,6,2023-03-01
Parnaíba,5.027587160967743,49.84990322580645,318.5740069696774,4,2023-03-01
Paraná,0,25.633225806451613,161.22812000967744,1,2023-03-01
Barreirinhas,56.97350477419355,0.36232258064516126,59.252444965161295,1,2023-03-01
Total,3115358.5692354916,138530.78029032258,3986690.8564133644,253,2023-03-01
Santos,2741228.9240732873,121674.02210000003,3506535.4050180893,28,2023-11-01
Campos,843709.6909547991,13873.305933333328,930970.1493473382,32,2023-11-01
Solimões,12744.423295356333,13978.689466666669,100667.72408969101,7,2023-11-01
Potiguar,33797.588318318005,999.2619333333333,40082.756019217326,67,2023-11-01
Recôncavo,19653.795724202,2785.2586000000006,37172.543119068025,70,2023-11-01
Parnaíba,70.04898498899999,4312.22,27193.09346318901,7,2023-11-01
Espírito Santo,16477.64525438567,752.9020333333334,21213.255992666003,24,2023-11-01
Camamu,164.88254696233335,1764.0124,11260.185380606334,2,2023-11-01
Alagoas,2278.586825384,1081.9305333333332,9083.724313249333,10,2023-11-01
Sergipe,7914.978445911667,60.742399999999996,8297.036600855667,18,2023-11-01
Amazonas,227.40766122933331,703.4670666666666,4652.081851819999,1,2023-11-01
Tucano Sul,8.240489741333333,114.6893,729.6143957743333,6,2023-11-01
Paraná,0.14946666666666666,22.45266666666667,141.2230073266667,1,2023-11-01
Barreirinhas,23.502923366666664,0.14946666666666666,24.44304030133333,1,2023-11-01
Total,3678299.715497933,162123.10390000005,4698023.235639191,274,2023-11-01
Santos,2626968.22571191,114973.6629032258,3350130.7203772487,27,2023-10-01
Campos,818616.8807019552,13619.926387096773,904283.6298907805,30,2023-10-01
Solimões,11978.652596357417,13157.091677419356,94734.25939990644,7,2023-10-01
Potiguar,34419.91737757968,1171.4369677419352,41788.0333316526,66,2023-10-01
Recôncavo,20168.704892359667,2680.485903225806,37028.451931328374,71,2023-10-01
Espírito Santo,20566.03117557419,793.2868387096775,25555.6546665587,25,2023-10-01
Parnaíba,30.032016676129032,2043.3087096774195,12882.055571892259,5,2023-10-01
Camamu,179.44584453483873,1904.3291290322582,12157.314243613226,1,2023-10-01
Alagoas,2840.599731360968,1287.003129032258,10935.604882379357,10,2023-10-01
Sergipe,7197.156686404839,53.02080645161292,7530.647485032255,15,2023-10-01
Amazonas,242.7635357309678,723.7596774193548,4795.07439236,1,2023-10-01
Tucano Sul,2.1675496848387095,77.88493548387096,492.0489957406451,5,2023-10-01
Paraná,0,19.988387096774193,125.72315704516129,1,2023-10-01
Barreirinhas,24.753445806451612,0.15741935483870967,25.743583638709676,1,2023-10-01
Total,3543235.3312659357,152505.34287096772,4502464.961909176,265,2023-10-01
Santos,2743258.984152066,122466.63079999998,3513550.8232242144,27,2023-09-01
Campos,829113.865650168,13924.40736666666,916695.7423491024,33,2023-09-01
Solimões,11569.069772953335,12613.327433333334,90904.50279640769,7,2023-09-01
Potiguar,35456.47622597934,1173.4614666666669,42837.32589363399,63,2023-09-01
Recôncavo,19526.724789375337,2457.9572666666663,34986.808984827985,69,2023-09-01
Espírito Santo,20846.41854894101,774.3741666666668,25717.08492618267,28,2023-09-01
Parnaíba,31.281531393666672,1969.6741,12420.157382314666,6,2023-09-01
Alagoas,3069.313224778666,1275.0091,11088.878212049665,10,2023-09-01
Sergipe,9063.680995042998,55.82016666666667,9414.779237544668,15,2023-09-01
Amazonas,234.38012527466665,699.2204666666668,4632.344008719333,1,2023-09-01
Camamu,38.935810843,469.62763333333334,2992.8043952593334,1,2023-09-01
Tucano Sul,4.681505583000001,85.19966666666666,540.5712209796667,5,2023-09-01
Paraná,0,23.951999999999998,150.65352911999997,1,2023-09-01
Barreirinhas,28.849261866666666,0.18346666666666664,30.00323234133333,1,2023-09-01
Total,3672242.661594266,157988.84509999998,4665962.479392696,267,2023-09-01
Santos,2516321.9124529264,110927.88909677416,3214037.2585727074,29,2023-08-01
Campos,851991.0688775256,13862.412548387094,939183.0099484966,33,2023-08-01
Solimões,10392.799351806774,12316.247387096775,87859.65532964193,7,2023-08-01
Potiguar,33691.149150620964,1249.53435483871,41550.48283102903,69,2023-08-01
Recôncavo,19089.043382783228,2411.8862258064514,34259.34948472291,71,2023-08-01
Espírito Santo,20949.39083423516,799.1471612903224,25975.874640790647,27,2023-08-01
Parnaíba,36.40684055967741,2425.3100967741934,15291.146540350968,6,2023-08-01
Alagoas,2658.024402005484,1329.3322258064518,11019.27152920516,10,2023-08-01
Camamu,133.06620587451616,1671.9470000000001,10649.295165944515,1,2023-08-01
Sergipe,6510.158884759033,57.865838709677426,6874.12401573355,16,2023-08-01
Amazonas,237.9110487645161,698.205,4629.487839814516,1,2023-08-01
Tucano Sul,2.9978046048387097,82.88970967741936,524.3583294309677,5,2023-08-01
Paraná,0,27.065806451612904,170.23878007741936,1,2023-08-01
Barreirinhas,33.15338561290323,0.21083870967741933,34.47952103741935,1,2023-08-01
Total,3462047.0826220782,147859.94329032258,4392058.032528984,277,2023-08-01
Santos,2584892.372906525,114860.90096774197,3307345.616422439,29,2024-01-01
Campos,838006.5585391026,11996.692225806451,913463.4732679022,31,2024-01-01
Solimões,11642.153036681935,13584.263838709678,97084.59157203646,7,2024-01-01
Potiguar,35213.97383233838,1183.1301935483873,42655.63795502095,67,2024-01-01
Recôncavo,19952.9128734971,2687.695741935485,36858.00842808033,76,2024-01-01
Parnaíba,86.75047979967744,5141.52829032258,32425.986535553548,7,2024-01-01
Espírito Santo,17044.09122521387,761.0398709677421,21830.887416025485,25,2024-01-01
Alagoas,3035.461900205806,1274.5220967741934,11051.963729717096,10,2024-01-01
Camamu,149.21681477774194,1515.9449032258062,9684.222226536449,2,2024-01-01
Sergipe,8827.52819165,59.79293548387097,9203.614395185805,18,2024-01-01
Amazonas,236.27021994290322,723.6285806451613,4787.756502770645,1,2024-01-01
Tucano Sul,4.07965192483871,115.86396774193548,732.8419948677417,6,2024-01-01
Paraná,0,22.32741935483871,140.43522553225807,1,2024-01-01
Barreirinhas,15.683945580645162,0.09974193548387097,16.31130340387097,1,2024-01-01
Total,3519107.0536172404,153927.43077419358,4487281.346975071,281,2024-01-01
Santos,1204592.23775055,57444.4836525807,1565907.12547339,10,2018-01-01
Campos,1251616.01441849,23482.8014925806,1399318.37407454,41,2018-01-01
Solimões,19429.5964206581,11529.6208977419,91948.7212394843,7,2018-01-01
Espírito Santo,35005.4989259693,2596.95602419355,51339.8588965021,42,2018-01-01
Potiguar,44145.0808559506,971.328628387096,50254.553376066,80,2018-01-01
Recôncavo,31050.7608746996,2132.4181267742,44463.2657326652,78,2018-01-01
Parnaíba,50.0288626550935,6133.61023451613,38629.271851817,5,2018-01-01
Sergipe,22163.8025002277,2486.95765774193,37806.2936454695,21,2018-01-01
Camamu,422.353640101613,4440.63391258064,28353.0972297905,1,2018-01-01
Alagoas,2820.65591253825,1096.55268516129,9717.76395719258,12,2018-01-01
Ceará,3896.06616794129,70.7662148387097,4341.17221369596,4,2018-01-01
Tucano Sul,1.3452077516129,33.9213696774193,214.704177962342,4,2018-01-01
Total Geral,2615193.44153754,112420.050896774,3322294.20186858,305,2018-01-01
Santos,1231456.53380387,59233.6530503571,1604024.95709654,11,2018-02-01
Campos,1228621.42856575,22965.1150189286,1373067.63866296,38,2018-02-01
Solimões,21716.4248884321,13952.96964,109477.952859801,7,2018-02-01
Potiguar,42952.5859565268,1003.018385,49261.3810246836,81,2018-02-01
Espírito Santo,33573.0923703781,1924.69008785714,45679.0273318828,42,2018-02-01
Recôncavo,30356.9325569285,2185.08068857143,44100.674922712,79,2018-02-01
Sergipe,21308.4766535079,2294.67671142857,35741.5571798185,21,2018-02-01
Camamu,420.466160873571,4773.75060821429,30446.4504739259,2,2018-02-01
Alagoas,3003.69233416928,1182.69312785714,10442.6073966964,12,2018-02-01
Ceará,3932.26139407536,84.1166775,4461.33931338163,4,2018-02-01
Parnaíba,1.34064155245,176.519603928571,1111.61541153842,2,2018-02-01
Tucano Sul,2.06665185714286,36.5135567857143,231.729986463496,4,2018-02-01
Total Geral,2617345.30197792,109812.797156429,3308046.9316604,303,2018-02-01
Santos,1210843.92732024,57920.9700154838,1575155.82373333,11,2018-03-01
Campos,1195441.84867918,23049.2717216129,1340417.38844649,37,2018-03-01
Solimões,20613.2067795452,13779.3638554839,107282.787351406,7,2018-03-01
Potiguar,42521.5745565821,995.875902580644,48785.4447673929,82,2018-03-01
Recôncavo,29338.2161872889,2152.15218096774,42874.8444966616,83,2018-03-01
Espírito Santo,31917.7931415898,1068.64990548387,38639.3980036013,38,2018-03-01
Sergipe,19523.1343886305,2086.10446548387,32644.3351166756,20,2018-03-01
Camamu,404.692259415806,4731.35262645161,30164.0013227974,2,2018-03-01
Alagoas,2584.46575173178,1069.96293870968,9314.32934325729,12,2018-03-01
Ceará,4108.78409289065,83.2445280645161,4632.37635795612,4,2018-03-01
Tucano Sul,1.93360933225806,28.1997838709677,179.30489192171,4,2018-03-01
