Nº,Bacia,Campo,Localização,Operador,Queima de Gás (Mm³/d),mes
1,Santos,Mero,Mar,Petrobras,802,2018-01-01
2,Santos,Lula,Mar,Petrobras,720,2018-01-01
3,Campos,Roncador,Mar,Petrobras,511,2018-01-01
4,Campos,Marlim,Mar,Petrobras,398,2018-01-01
5,Santos,Sapinhoá,Mar,Petrobras,233,2018-01-01
6,Campos,Marlim Sul,Mar,Petrobras,207,2018-01-01
7,Campos,Jubarte³,Mar,Petrobras,144,2018-01-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,124,2018-01-01
9,Solimões,Rio Urucu,Terra,Petrobras,75,2018-01-01
10,Campos,Marlim Leste,Mar,Petrobras,69,2018-01-01
11,Campos,Barracuda,Mar,Petrobras,67,2018-01-01
12,Campos,Albacora Leste,Mar,Petrobras,60,2018-01-01
13,Campos,Albacora,Mar,Petrobras,44,2018-01-01
14,Campos,Baleia Azul³,Mar,Petrobras,38,2018-01-01
15,Sergipe,Piranema,Mar,Petrobras,35,2018-01-01
16,Campos,Caratinga,Mar,Petrobras,32,2018-01-01
17,Campos,Baleia Franca³,Mar,Petrobras,22,2018-01-01
18,Campos,Cherne,Mar,Petrobras,22,2018-01-01
19,Campos,Namorado,Mar,Petrobras,21,2018-01-01
20,Campos,Tubarão Martelo,Mar,Dommo Energia,21,2018-01-01
1,Santos,Mero,Mar,Petrobras,623,2018-02-01
2,Santos,Lula,Mar,Petrobras,566,2018-02-01
3,Campos,Roncador,Mar,Petrobras,397,2018-02-01
4,Campos,Marlim,Mar,Petrobras,395,2018-02-01
5,Santos,Sururu,Mar,Petrobras,360,2018-02-01
6,Campos,Marlim Sul,Mar,Petrobras,161,2018-02-01
7,Solimões,Leste Do Urucu,Terra,Petrobras,102,2018-02-01
8,Santos,Sapinhoá,Mar,Petrobras,95,2018-02-01
9,Campos,Jubarte³,Mar,Petrobras,92,2018-02-01
10,Campos,Marlim Leste,Mar,Petrobras,68,2018-02-01
11,Solimões,Rio Urucu,Terra,Petrobras,67,2018-02-01
12,Campos,Barracuda,Mar,Petrobras,55,2018-02-01
13,Campos,Albacora Leste,Mar,Petrobras,52,2018-02-01
14,Campos,Albacora,Mar,Petrobras,43,2018-02-01
15,Sergipe,Piranema,Mar,Petrobras,41,2018-02-01
16,Campos,Caratinga,Mar,Petrobras,27,2018-02-01
17,Santos,Lapa,Mar,Total E&P do Brasil,22,2018-02-01
18,Potiguar,Canto Do Amaro,Terra,Petrobras,22,2018-02-01
19,Campos,Tubarão Martelo,Mar,Dommo Energia,21,2018-02-01
20,Campos,Marimbá,Mar,Petrobras,21,2018-02-01
1,Santos,Lula,Mar,Petrobras,631.666413870968,2018-03-01
2,Santos,Sururu,Mar,Petrobras,478.288160967742,2018-03-01
3,Campos,Roncador,Mar,Petrobras,373.374070322581,2018-03-01
4,Campos,Marlim,Mar,Petrobras,291.699377419355,2018-03-01
5,Santos,Sapinhoá,Mar,Petrobras,205.793225483871,2018-03-01
6,Campos,Jubarte³,Mar,Petrobras,148.456850645161,2018-03-01
7,Campos,Marlim Sul,Mar,Petrobras,131.646603870968,2018-03-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,129.577256451613,2018-03-01
9,Santos,Mero,Mar,Petrobras,82.1637096774193,2018-03-01
10,Solimões,Rio Urucu,Terra,Petrobras,81.5682525806452,2018-03-01
11,Campos,Albacora,Mar,Petrobras,59.9533551612903,2018-03-01
12,Campos,Albacora Leste,Mar,Petrobras,59.5639983870968,2018-03-01
13,Campos,Barracuda,Mar,Petrobras,59.3285435483871,2018-03-01
14,Campos,Marlim Leste,Mar,Petrobras,40.5572832258065,2018-03-01
15,Sergipe,Piranema,Mar,Petrobras,35.7375806451613,2018-03-01
16,Campos,Baleia Azul³,Mar,Petrobras,33.1326706451613,2018-03-01
17,Campos,Caratinga,Mar,Petrobras,27.6141325806452,2018-03-01
18,Campos,Baleia Franca³,Mar,Petrobras,26.6153558064516,2018-03-01
19,Santos,Lapa,Mar,Total E&P do Brasil,22.65477,2018-03-01
20,Campos,Pampo,Mar,Petrobras,21.868464516129,2018-03-01
1,Santos,Lula,Mar,Petrobras,634.956094333333,2018-04-01
2,Santos,Sururu,Mar,Petrobras,463.183133333333,2018-04-01
3,Santos,Búzios,Mar,Petrobras,338.201466666667,2018-04-01
4,Campos,Marlim,Mar,Petrobras,264.515839333333,2018-04-01
5,Campos,Roncador,Mar,Petrobras,257.959134333333,2018-04-01
6,Campos,Marlim Sul,Mar,Petrobras,184.617107666667,2018-04-01
7,Santos,Sapinhoá,Mar,Petrobras,183.675732333333,2018-04-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,105.318437,2018-04-01
9,Campos,Jubarte³,Mar,Petrobras,81.912539,2018-04-01
10,Campos,Marlim Leste,Mar,Petrobras,79.231581,2018-04-01
11,Santos,Mero,Mar,Petrobras,77.6672333333333,2018-04-01
12,Solimões,Rio Urucu,Terra,Petrobras,72.493354,2018-04-01
13,Campos,Barracuda,Mar,Petrobras,67.768115,2018-04-01
14,Campos,Albacora,Mar,Petrobras,37.9480223333333,2018-04-01
15,Sergipe,Piranema,Mar,Petrobras,36.6204,2018-04-01
16,Campos,Albacora Leste,Mar,Petrobras,36.3010436666667,2018-04-01
17,Campos,Caratinga,Mar,Petrobras,33.2774166666667,2018-04-01
18,Campos,Marimbá,Mar,Petrobras,29.2294666666667,2018-04-01
19,Campos,Baleia Franca³,Mar,Petrobras,24.7481586666667,2018-04-01
20,Campos,Cherne,Mar,Petrobras,23.6608883333333,2018-04-01
1,Santos,Búzios,Mar,Petrobras,943.88535483871,2018-05-01
2,Santos,Lula,Mar,Petrobras,502.302801290323,2018-05-01
3,Santos,Sururu,Mar,Petrobras,460.280419032258,2018-05-01
4,Campos,Marlim,Mar,Petrobras,399.787344193548,2018-05-01
5,Campos,Roncador,Mar,Petrobras,355.632842258065,2018-05-01
6,Santos,Sapinhoá,Mar,Petrobras,221.68022483871,2018-05-01
7,Campos,Marlim Sul,Mar,Petrobras,123.321861612903,2018-05-01
8,Campos,Jubarte³,Mar,Petrobras,92.3962380645161,2018-05-01
9,Solimões,Leste Do Urucu,Terra,Petrobras,90.9024838709677,2018-05-01
10,Campos,Albacora Leste,Mar,Petrobras,64.0471374193548,2018-05-01
11,Solimões,Rio Urucu,Terra,Petrobras,61.5967219354839,2018-05-01
12,Campos,Barracuda,Mar,Petrobras,60.5678941935484,2018-05-01
13,Campos,Marlim Leste,Mar,Petrobras,51.3496370967742,2018-05-01
14,Santos,Mero,Mar,Petrobras,48.5822580645161,2018-05-01
15,Santos,Atlanta,Mar,Queiroz Galvão,48.2816129032258,2018-05-01
16,Sergipe,Piranema,Mar,Petrobras,44.4219677419355,2018-05-01
17,Campos,Albacora,Mar,Petrobras,43.9381841935484,2018-05-01
18,Santos,Lapa,Mar,Total E&P do Brasil,30.3064996774193,2018-05-01
19,Campos,Namorado,Mar,Petrobras,29.9410019354839,2018-05-01
20,Campos,Cherne,Mar,Petrobras,26.7632064516129,2018-05-01
1,Santos,Búzios,Mar,Petrobras,950.983466666667,2018-06-01
2,Santos,Lula,Mar,Petrobras,595.203194666667,2018-06-01
3,Santos,Sururu,Mar,Petrobras,446.170166333333,2018-06-01
4,Campos,Marlim,Mar,Petrobras,344.302729,2018-06-01
5,Campos,Roncador,Mar,Petrobras,286.546547333333,2018-06-01
6,Santos,Sapinhoá,Mar,Petrobras,176.536432666667,2018-06-01
7,Solimões,Leste Do Urucu,Terra,Petrobras,129.807814666667,2018-06-01
8,Campos,Marlim Sul,Mar,Petrobras,121.441254,2018-06-01
9,Campos,Jubarte³,Mar,Petrobras,98.2014426666667,2018-06-01
10,Solimões,Rio Urucu,Terra,Petrobras,84.6808113333333,2018-06-01
11,Campos,Marlim Leste,Mar,Petrobras,83.7909826666667,2018-06-01
12,Campos,Tartaruga Verde,Mar,Petrobras,69.4639666666667,2018-06-01
13,Campos,Albacora Leste,Mar,Petrobras,65.9403323333333,2018-06-01
14,Campos,Barracuda,Mar,Petrobras,57.853617,2018-06-01
15,Santos,Atlanta,Mar,Queiroz Galvão,47.468,2018-06-01
16,Sergipe,Piranema,Mar,Petrobras,37.8839,2018-06-01
17,Campos,Albacora,Mar,Petrobras,29.753666,2018-06-01
18,Campos,Pampo,Mar,Petrobras,28.322191,2018-06-01
19,Potiguar,Canto Do Amaro,Terra,Petrobras,27.3448643333333,2018-06-01
20,Campos,Cherne,Mar,Petrobras,26.9749256666667,2018-06-01
1,Santos,Búzios,Mar,Petrobras,814.416677419355,2018-07-01
2,Santos,Lula,Mar,Petrobras,379.179640967742,2018-07-01
3,Campos,Marlim,Mar,Petrobras,334.859226774194,2018-07-01
4,Santos,Sapinhoá,Mar,Petrobras,314.176740967742,2018-07-01
5,Campos,Tartaruga Verde,Mar,Petrobras,286.727240645161,2018-07-01
6,Santos,Sururu,Mar,Petrobras,248.265806451613,2018-07-01
7,Campos,Roncador,Mar,Petrobras,215.430774193548,2018-07-01
8,Campos,Marlim Leste,Mar,Petrobras,101.717917096774,2018-07-01
9,Campos,Marlim Sul,Mar,Petrobras,99.6498929032258,2018-07-01
10,Solimões,Leste Do Urucu,Terra,Petrobras,96.2883793548387,2018-07-01
11,Campos,Jubarte³,Mar,Petrobras,77.5672077419355,2018-07-01
12,Campos,Albacora Leste,Mar,Petrobras,71.2854990322581,2018-07-01
13,Solimões,Rio Urucu,Terra,Petrobras,63.2545390322581,2018-07-01
14,Campos,Barracuda,Mar,Petrobras,59.6803793548387,2018-07-01
15,Santos,Mexilhão,Mar,Petrobras,55.7264838709677,2018-07-01
16,Santos,Mero,Mar,Petrobras,47.9026129032258,2018-07-01
17,Sergipe,Piranema,Mar,Petrobras,40.951064516129,2018-07-01
18,Campos,AnC Tartaruga Verde⁴,Mar,Petrobras,30.7627590322581,2018-07-01
19,Campos,Pampo,Mar,Petrobras,30.3015990322581,2018-07-01
20,Santos,Atlanta,Mar,Queiroz Galvão,29.1767741935484,2018-07-01
1,Santos,Lula,Mar,Petrobras,423.401961935484,2018-08-01
2,Santos,Búzios,Mar,Petrobras,391.516129032258,2018-08-01
3,Campos,Marlim,Mar,Petrobras,294.734782258065,2018-08-01
4,Campos,Roncador,Mar,Petrobras,274.952401612903,2018-08-01
5,Campos,Tartaruga Verde,Mar,Petrobras,228.226063225806,2018-08-01
6,Santos,Sapinhoá,Mar,Petrobras,201.57922483871,2018-08-01
7,Campos,Marlim Sul,Mar,Petrobras,140.311209354839,2018-08-01
8,Campos,Marlim Leste,Mar,Petrobras,126.924338064516,2018-08-01
9,Campos,Jubarte³,Mar,Petrobras,111.041066774194,2018-08-01
10,Solimões,Leste Do Urucu,Terra,Petrobras,89.7322722580645,2018-08-01
11,Campos,Albacora Leste,Mar,Petrobras,61.2933041935484,2018-08-01
12,Solimões,Rio Urucu,Terra,Petrobras,60.6979906451613,2018-08-01
13,Campos,Barracuda,Mar,Petrobras,58.8086203225806,2018-08-01
14,Sergipe,Piranema,Mar,Petrobras,51.7356129032258,2018-08-01
15,Santos,Sururu,Mar,Petrobras,36.7323225806452,2018-08-01
16,Campos,Marimbá,Mar,Petrobras,32.416,2018-08-01
17,Campos,Baleia Franca³,Mar,Petrobras,30.189344516129,2018-08-01
18,Santos,Mero,Mar,Petrobras,30.1727741935484,2018-08-01
19,Campos,AnC Tartaruga Verde⁴,Mar,Petrobras,27.1624203225806,2018-08-01
20,Campos,Cherne,Mar,Petrobras,26.913664516129,2018-08-01
1,Santos,Lula,Mar,Petrobras,483.255994666667,2018-09-01
2,Campos,Marlim,Mar,Petrobras,303.919809666667,2018-09-01
3,Campos,Tartaruga Verde,Mar,Petrobras,299.082949666667,2018-09-01
4,Santos,Búzios,Mar,Petrobras,266.459733333333,2018-09-01
5,Campos,Roncador,Mar,Petrobras,251.092519,2018-09-01
6,Campos,Jubarte³,Mar,Petrobras,158.579023666667,2018-09-01
7,Campos,Marlim Sul,Mar,Petrobras,136.759262333333,2018-09-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,117.538635666667,2018-09-01
9,Campos,Marlim Leste,Mar,Petrobras,99.8106126666667,2018-09-01
10,Solimões,Rio Urucu,Terra,Petrobras,75.8921443333333,2018-09-01
11,Campos,Anc_Tartaruga_Verde⁴,Mar,Petrobras,66.0090833333333,2018-09-01
12,Campos,Barracuda,Mar,Petrobras,63.5346146666667,2018-09-01
13,Campos,Albacora Leste,Mar,Petrobras,56.0073053333333,2018-09-01
14,Santos,Sapinhoá,Mar,Petrobras,55.6742326666667,2018-09-01
15,Campos,Albacora,Mar,Petrobras,48.104992,2018-09-01
16,Santos,Lapa,Mar,Total E&P do Brasil,35.558343,2018-09-01
17,Sergipe,Piranema,Mar,Petrobras,34.9452666666667,2018-09-01
18,Campos,Baleia Franca³,Mar,Petrobras,31.275983,2018-09-01
19,Campos,Marimbá,Mar,Petrobras,30.8082,2018-09-01
20,Campos,Argonauta,Mar,Shell Brasil,29.409908,2018-09-01
1,Santos,Lula,Mar,Petrobras,629.342897419355,2018-10-01
2,Campos,Marlim,Mar,Petrobras,336.834857419355,2018-10-01
3,Campos,Roncador,Mar,Petrobras,261.704602580645,2018-10-01
4,Santos,Búzios,Mar,Petrobras,209.861548387097,2018-10-01
5,Campos,Tartaruga Verde,Mar,Petrobras,196.137836129032,2018-10-01
6,Campos,Jubarte³,Mar,Petrobras,139.516229032258,2018-10-01
7,Campos,Marlim Sul,Mar,Petrobras,115.692646129032,2018-10-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,95.8481432258064,2018-10-01
9,Campos,Marlim Leste,Mar,Petrobras,89.0279106451613,2018-10-01
10,Santos,Sapinhoá,Mar,Petrobras,81.1677732258064,2018-10-01
11,Campos,Barracuda,Mar,Petrobras,63.980965483871,2018-10-01
12,Campos,Albacora Leste,Mar,Petrobras,57.928194516129,2018-10-01
13,Solimões,Rio Urucu,Terra,Petrobras,55.9739325806452,2018-10-01
14,Campos,AnC Tartaruga Verde⁴,Mar,Petrobras,43.5333893548387,2018-10-01
15,Santos,Lapa,Mar,Total E&P do Brasil,42.65318,2018-10-01
16,Campos,Albacora,Mar,Petrobras,42.5692229032258,2018-10-01
17,Sergipe,Piranema,Mar,Petrobras,38.3529677419355,2018-10-01
18,Campos,Baleia Franca³,Mar,Petrobras,32.5365332258065,2018-10-01
19,Campos,Marimbá,Mar,Petrobras,27.763064516129,2018-10-01
20,Campos,Cherne,Mar,Petrobras,26.8604351612903,2018-10-01
1,Santos,Lula,Mar,Petrobras,1403.245795,2018-11-01
2,Santos,Búzios,Mar,Petrobras,815.707733333333,2018-11-01
3,Campos,Roncador,Mar,Petrobras,264.169766666667,2018-11-01
4,Campos,Marlim,Mar,Petrobras,263.458308,2018-11-01
5,Campos,Marlim Sul,Mar,Petrobras,174.337823333333,2018-11-01
6,Santos,Sapinhoá,Mar,Petrobras,110.324399,2018-11-01
7,Campos,Jubarte³,Mar,Petrobras,95.9118583333333,2018-11-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,92.8023416666667,2018-11-01
9,Campos,Tartaruga Verde,Mar,Petrobras,90.6632323333333,2018-11-01
10,Campos,Marlim Leste,Mar,Petrobras,78.629931,2018-11-01
11,Campos,Barracuda,Mar,Petrobras,68.6228193333333,2018-11-01
12,Solimões,Rio Urucu,Terra,Petrobras,61.8883156666667,2018-11-01
13,Campos,Albacora Leste,Mar,Petrobras,53.1239796666667,2018-11-01
14,Campos,Albacora,Mar,Petrobras,41.708318,2018-11-01
15,Sergipe,Piranema,Mar,Petrobras,38.4971333333333,2018-11-01
16,Campos,Baleia Franca³,Mar,Petrobras,31.766718,2018-11-01
17,Campos,Marimbá,Mar,Petrobras,27.3440333333333,2018-11-01
18,Campos,Namorado,Mar,Petrobras,24.3579383333333,2018-11-01
19,Campos,Pampo,Mar,Petrobras,24.2332636666667,2018-11-01
20,Campos,Caratinga,Mar,Petrobras,24.0741793333333,2018-11-01
1,Santos,LULA,Mar,Petrobras,1174.72589709677,2018-12-01
2,Santos,BÚZIOS,Mar,Petrobras,1167.15174193548,2018-12-01
3,Campos,MARLIM,Mar,Petrobras,341.593428709677,2018-12-01
4,Campos,RONCADOR,Mar,Petrobras,231.282964516129,2018-12-01
5,Santos,SAPINHOÁ,Mar,Petrobras,164.655579677419,2018-12-01
6,Solimões,LESTE DO URUCU,Terra,Petrobras,139.123603225806,2018-12-01
7,Santos,LAPA,Mar,Total E&P do Brasil,128.70347,2018-12-01
8,Campos,MARLIM SUL,Mar,Petrobras,117.479195483871,2018-12-01
9,Santos,MERO,Mar,Petrobras,106.759870967742,2018-12-01
10,Campos,JUBARTE³,Mar,Petrobras,99.6031925806452,2018-12-01
11,Campos,ALBACORA,Mar,Petrobras,97.1937796774193,2018-12-01
12,Solimões,RIO URUCU,Terra,Petrobras,91.8140603225806,2018-12-01
13,Campos,BARRACUDA,Mar,Petrobras,59.6604774193548,2018-12-01
14,Campos,ALBACORA LESTE,Mar,Petrobras,55.9796703225806,2018-12-01
15,Campos,MARLIM LESTE,Mar,Petrobras,51.0620977419355,2018-12-01
16,Campos,TARTARUGA VERDE,Mar,Petrobras,47.2977867741935,2018-12-01
17,Campos,MARIMBÁ,Mar,Petrobras,35.2070322580645,2018-12-01
18,Sergipe,PIRANEMA,Mar,Petrobras,32.6943870967742,2018-12-01
19,Espírito Santo,GOLFINHO,Mar,Petrobras,28.656064516129,2018-12-01
20,Campos,BALEIA FRANCA³,Mar,Petrobras,27.4526006451613,2018-12-01
1,Santos,Lula,Mar,Petrobras,1376.72892806452,2019-01-01
2,Santos,Lapa,Mar,Total E&P do Brasil,1095.76823,2019-01-01
3,Santos,Búzios,Mar,Petrobras,1004.22158064516,2019-01-01
4,Campos,Marlim,Mar,Petrobras,343.36504,2019-01-01
5,Campos,Roncador,Mar,Petrobras,305.016900322581,2019-01-01
6,Santos,Sapinhoá,Mar,Petrobras,167.621082903226,2019-01-01
7,Campos,Marlim Sul,Mar,Petrobras,122.441406451613,2019-01-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,120.989228387097,2019-01-01
9,Campos,Jubarte³,Mar,Petrobras,103.893563225806,2019-01-01
10,Solimões,Rio Urucu,Terra,Petrobras,94.2957580645161,2019-01-01
11,Campos,Albacora,Mar,Petrobras,68.2780832258064,2019-01-01
12,Santos,Mero,Mar,Petrobras,66.4485161290322,2019-01-01
13,Campos,Albacora Leste,Mar,Petrobras,64.9317212903226,2019-01-01
14,Campos,Barracuda,Mar,Petrobras,60.7293519354839,2019-01-01
15,Campos,Marlim Leste,Mar,Petrobras,56.6892590322581,2019-01-01
16,Campos,Tartaruga Verde,Mar,Petrobras,44.463054516129,2019-01-01
17,Campos,Baleia Franca³,Mar,Petrobras,28.881944516129,2019-01-01
18,Campos,Namorado,Mar,Petrobras,28.1081741935484,2019-01-01
19,Sergipe,Piranema,Mar,Petrobras,27.1413870967742,2019-01-01
20,Campos,Marimbá,Mar,Petrobras,27.1353548387097,2019-01-01
1,Santos,Lula,Mar,Petrobras,1521.26768857143,2019-02-01
2,Santos,Búzios,Mar,Petrobras,816.934785714286,2019-02-01
3,Santos,Lapa,Mar,Total E&P do Brasil,744.978627857143,2019-02-01
4,Campos,Roncador,Mar,Petrobras,284.219753928571,2019-02-01
5,Campos,Marlim,Mar,Petrobras,262.767823214286,2019-02-01
6,Campos,Marlim Sul,Mar,Petrobras,150.742113214286,2019-02-01
7,Campos,Jubarte³,Mar,Petrobras,117.32438,2019-02-01
8,Solimões,Leste Do Urucu,Terra,Petrobras,104.406341428571,2019-02-01
9,Solimões,Rio Urucu,Terra,Petrobras,84.4778382142857,2019-02-01
10,Santos,Mero,Mar,Petrobras,71.7801428571428,2019-02-01
11,Santos,Sul De Lula,Mar,Petrobras,68.8775889285714,2019-02-01
12,Campos,Marlim Leste,Mar,Petrobras,66.1013517857143,2019-02-01
13,Campos,Barracuda,Mar,Petrobras,58.2947314285714,2019-02-01
14,Sergipe,Piranema,Mar,Petrobras,54.8315357142857,2019-02-01
15,Santos,Sapinhoá,Mar,Petrobras,54.5461060714286,2019-02-01
16,Campos,Albacora,Mar,Petrobras,51.5593007142857,2019-02-01
17,Campos,Albacora Leste,Mar,Petrobras,37.7711253571429,2019-02-01
18,Campos,Marimbá,Mar,Petrobras,27.5328214285714,2019-02-01
19,Campos,Baleia Franca³,Mar,Petrobras,26.6947525,2019-02-01
20,Campos,Tartaruga Verde,Mar,Petrobras,22.7394146428571,2019-02-01
1,Santos,Búzios,Mar,Petrobras,2015.83403225806,2019-03-01
2,Santos,Lula,Mar,Petrobras,1682.69050580645,2019-03-01
3,Campos,Roncador,Mar,Petrobras,268.95254516129,2019-03-01
4,Campos,Marlim,Mar,Petrobras,187.002503225806,2019-03-01
5,Santos,Sapinhoá,Mar,Petrobras,163.721585483871,2019-03-01
6,Campos,Marlim Sul,Mar,Petrobras,151.765283548387,2019-03-01
7,Solimões,Leste Do Urucu,Terra,Petrobras,131.216018709677,2019-03-01
8,Santos,Sul De Lula,Mar,Petrobras,117.667261612903,2019-03-01
9,Campos,Jubarte,Mar,Petrobras,117.571832903226,2019-03-01
10,Santos,Mero,Mar,Petrobras,108.135483870968,2019-03-01
11,Solimões,Rio Urucu,Terra,Petrobras,103.776437096774,2019-03-01
12,Campos,Marlim Leste,Mar,Petrobras,60.7762274193548,2019-03-01
13,Campos,Albacora,Mar,Petrobras,52.9381693548387,2019-03-01
14,Campos,Barracuda,Mar,Petrobras,50.8734477419355,2019-03-01
15,Sergipe,Piranema,Mar,Petrobras,47.737064516129,2019-03-01
16,Campos,Albacora Leste,Mar,Petrobras,41.2944096774193,2019-03-01
17,Espírito Santo,Golfinho,Mar,Petrobras,32.4172903225806,2019-03-01
18,Campos,Baleia Franca,Mar,Petrobras,29.0667496774193,2019-03-01
19,Campos,Marimbá,Mar,Petrobras,26.7536129032258,2019-03-01
20,Campos,Cherne,Mar,Petrobras,26.1147867741935,2019-03-01
1,Santos,Búzios,Mar,Petrobras,2252.05236666667,2019-04-01
2,Santos,Lula,Mar,Petrobras,1477.736728,2019-04-01
3,Campos,Roncador,Mar,Petrobras,377.426348333333,2019-04-01
4,Santos,Sapinhoá,Mar,Petrobras,246.425245666667,2019-04-01
5,Campos,Marlim,Mar,Petrobras,194.960361333333,2019-04-01
6,Campos,Marlim Sul,Mar,Petrobras,138.884815,2019-04-01
7,Solimões,Leste Do Urucu,Terra,Petrobras,112.485473333333,2019-04-01
