"","Nº","CAMPO","Produção Petróleo Acum. (MMbbl)","Inicio da Produção","Tempo de Produção (anos)","Média Histórica de produção","mes","Produção total  Acum. MMboe","Média Histórica de produção (MMbbl)"
"229",9,"ESTREITO",108.7196151018,"31/03/1982",39,NA,"2021-06-01",NA,2.78768243850769
"230",10,"FAZENDA ALEGRE",56.699942754,"31/10/1996",24,NA,"2021-06-01",NA,2.36249761475
"231",11,"TAQUIPE",115.5542352894,"31/03/1959",62,NA,"2021-06-01",NA,1.86377798853871
"232",12,"SIRIRIZINHO",84.308485208,"30/11/1967",53,NA,"2021-06-01",NA,1.590726136
"233",13,"FAZENDA BÁLSAMO",54.9557926177,"31/08/1983",37,NA,"2021-06-01",NA,1.48529169237027
"234",14,"ALTO DO RODRIGUES",56.267141331,"30/06/1981",40,NA,"2021-06-01",NA,1.406678533275
"235",15,"FAZENDA POCINHO",53.4275999146,"31/10/1982",38,NA,"2021-06-01",NA,1.40598947143684
"236",16,"CANDEIAS",110.590299107,"31/12/1941",79,NA,"2021-06-01",NA,1.39987720388608
"237",17,"PILAR",49.3539995129,"31/01/1982",39,NA,"2021-06-01",NA,1.26548716699744
"238",18,"FAZENDA BELÉM",35.5494795227,"31/05/1987",34,NA,"2021-06-01",NA,1.04557292713824
"239",19,"RIACHO DA FORQUILHA",31.438605147,"31/05/1989",32,NA,"2021-06-01",NA,0.98245641084375
"240",20,"RIACHUELO",50.5554559734,"31/10/1965",55,NA,"2021-06-01",NA,0.919190108607273
"241",1,"CANTO DO AMARO",289.3369508338,"31/01/1986",35,NA,"2021-07-01",NA,8.26677002382286
"242",2,"CARMÓPOLIS",398.5077542326,"31/10/1963",57,NA,"2021-07-01",NA,6.99136410934386
"243",3,"LESTE DO URUCU",164.2483621719,"31/03/1992",29,NA,"2021-07-01",NA,5.66373662661724
"244",4,"ÁGUA GRANDE",319.2680409,"31/07/1951",70,NA,"2021-07-01",NA,4.56097201285714
"245",5,"RIO URUCU",137.2157522038,"31/07/1988",33,NA,"2021-07-01",NA,4.15805309708485
"246",6,"MIRANGA",222.9965660301,"31/07/1965",56,NA,"2021-07-01",NA,3.98208153625179
"247",7,"BURACICA",195.1782704377,"31/05/1959",62,NA,"2021-07-01",NA,3.1480366199629
"248",8,"ARAÇÁS",163.368796823,"30/04/1965",56,NA,"2021-07-01",NA,2.91729994326786
"249",9,"ESTREITO",108.8773959707,"31/03/1982",39,NA,"2021-07-01",NA,2.79172810181282
"250",10,"FAZENDA ALEGRE",56.8167992282,"31/10/1996",24,NA,"2021-07-01",NA,2.36736663450833
"251",11,"TAQUIPE",115.5985760923,"31/03/1959",62,NA,"2021-07-01",NA,1.86449316277903
"252",12,"SIRIRIZINHO",84.3607465348,"30/11/1967",53,NA,"2021-07-01",NA,1.59171219876981
"253",13,"FAZENDA BÁLSAMO",54.9944629103,"31/08/1983",37,NA,"2021-07-01",NA,1.48633683541351
"254",14,"ALTO DO RODRIGUES",56.3672945679,"30/06/1981",40,NA,"2021-07-01",NA,1.4091823641975
"255",15,"FAZENDA POCINHO",53.485543375,"31/10/1982",38,NA,"2021-07-01",NA,1.40751429934211
"256",16,"CANDEIAS",110.610005214,"31/12/1941",79,NA,"2021-07-01",NA,1.40012664827848
"257",17,"PILAR",49.3636380808,"31/01/1982",39,NA,"2021-07-01",NA,1.2657343097641
"258",18,"FAZENDA BELÉM",35.5785698057,"31/05/1987",34,NA,"2021-07-01",NA,1.04642852369706
"259",19,"RIACHO DA FORQUILHA",31.5072141058,"31/05/1989",32,NA,"2021-07-01",NA,0.98460044080625
"260",20,"RIACHUELO",50.5830189903,"31/10/1965",55,NA,"2021-07-01",NA,0.919691254369091
"261",1,"CANTO DO AMARO",289.5683639571,"31/01/1986",35,NA,"2021-08-01",NA,8.27338182734571
"262",2,"CARMÓPOLIS",398.6521343173,"31/10/1963",57,NA,"2021-08-01",NA,6.99389709328597
"263",3,"LESTE DO URUCU",164.475590024,"31/03/1992",29,NA,"2021-08-01",NA,5.6715720697931
"264",4,"ÁGUA GRANDE",319.284513363,"31/07/1951",70,NA,"2021-08-01",NA,4.56120733375714
"265",5,"RIO URUCU",137.3752214869,"31/07/1988",33,NA,"2021-08-01",NA,4.16288549960303
"266",6,"MIRANGA",223.0147665764,"31/07/1965",56,NA,"2021-08-01",NA,3.98240654600714
"267",7,"BURACICA",195.2606453496,"31/05/1959",62,NA,"2021-08-01",NA,3.14936524757419
"268",8,"ARAÇÁS",163.45451631,"30/04/1965",56,NA,"2021-08-01",NA,2.91883064839286
"269",9,"ESTREITO",109.0659017568,"31/03/1982",39,NA,"2021-08-01",NA,2.79656158350769
"270",10,"FAZENDA ALEGRE",56.9414842201,"31/10/1996",24,NA,"2021-08-01",NA,2.37256184250417
"271",11,"TAQUIPE",115.6412235834,"31/03/1959",62,NA,"2021-08-01",NA,1.86518102553871
"272",12,"SIRIRIZINHO",84.3977456001,"30/11/1967",53,NA,"2021-08-01",NA,1.59241029434151
"273",13,"FAZENDA BÁLSAMO",55.0303943679,"31/08/1983",38,NA,"2021-08-01",NA,1.44816827283947
"274",14,"ALTO DO RODRIGUES",56.4510302424,"30/06/1981",40,NA,"2021-08-01",NA,1.41127575606
"275",15,"FAZENDA POCINHO",53.5267692185,"31/10/1982",38,NA,"2021-08-01",NA,1.40859918996053
"276",16,"CANDEIAS",110.6339630877,"31/12/1941",79,NA,"2021-08-01",NA,1.40042991250253
"277",17,"PILAR",49.3712515814,"31/01/1982",39,NA,"2021-08-01",NA,1.26592952772821
"278",18,"FAZENDA BELÉM",35.6078760317,"31/05/1987",34,NA,"2021-08-01",NA,1.04729047152059
"279",19,"RIACHO DA FORQUILHA",31.5595588837,"31/05/1989",32,NA,"2021-08-01",NA,0.986236215115625
"280",20,"RIACHUELO",50.6117568802,"31/10/1965",55,NA,"2021-08-01",NA,0.920213761458182
"281",1,"CANTO DO AMARO",289.5756875899,"31/01/1986",35,NA,"2021-09-01",NA,8.27359107399714
"282",2,"CARMÓPOLIS",398.6567950864,"31/10/1963",57,NA,"2021-09-01",NA,6.99397886116491
"283",3,"LESTE DO URUCU",164.4828351651,"31/03/1992",29,NA,"2021-09-01",NA,5.67182190224483
"284",4,"ÁGUA GRANDE",319.2851561703,"31/07/1951",70,NA,"2021-09-01",NA,4.56121651671857
"285",5,"RIO URUCU",137.380186388,"31/07/1988",33,NA,"2021-09-01",NA,4.16303595115152
"286",6,"MIRANGA",223.0154269432,"31/07/1965",56,NA,"2021-09-01",NA,3.98241833827143
"287",7,"BURACICA",195.2631164313,"31/05/1959",62,NA,"2021-09-01",NA,3.14940510373064
"288",8,"ARAÇÁS",163.4572335631,"30/04/1965",56,NA,"2021-09-01",NA,2.91887917076964
"289",9,"ESTREITO",109.0719746753,"31/03/1982",39,NA,"2021-09-01",NA,2.79671729936667
"290",10,"FAZENDA ALEGRE",56.9453223178,"31/10/1996",24,NA,"2021-09-01",NA,2.37272176324167
"291",11,"TAQUIPE",115.6428681581,"31/03/1959",62,NA,"2021-09-01",NA,1.8652075509371
"292",12,"SIRIRIZINHO",84.3987587857,"30/11/1967",53,NA,"2021-09-01",NA,1.59242941105094
"293",13,"FAZENDA BÁLSAMO",55.0315642874,"31/08/1983",38,NA,"2021-09-01",NA,1.44819906019474
"294",14,"ALTO DO RODRIGUES",56.4535373536,"30/06/1981",40,NA,"2021-09-01",NA,1.41133843384
"295",15,"FAZENDA POCINHO",53.5281490185,"31/10/1982",38,NA,"2021-09-01",NA,1.40863550048684
"296",16,"CANDEIAS",110.6345986742,"31/12/1941",79,NA,"2021-09-01",NA,1.40043795790127
"297",17,"PILAR",49.3716110254,"31/01/1982",39,NA,"2021-09-01",NA,1.26593874424103
"298",18,"FAZENDA BELÉM",35.6087537571,"31/05/1987",34,NA,"2021-09-01",NA,1.04731628697353
"299",19,"RIACHO DA FORQUILHA",31.5611648713,"31/05/1989",32,NA,"2021-09-01",NA,0.986286402228125
"300",20,"RIACHUELO",50.6126972757,"31/10/1965",55,NA,"2021-09-01",NA,0.920230859558182
"301",1,"CANTO DO AMARO",289.5831641568,"31/01/1986",35,NA,"2021-10-01",NA,8.27380469019429
"302",2,"CARMÓPOLIS",398.6612534529,"31/10/1963",58,NA,"2021-10-01",NA,6.87346988711897
"303",3,"LESTE DO URUCU",164.4901319995,"31/03/1992",29,NA,"2021-10-01",NA,5.67207351722414
"304",4,"ÁGUA GRANDE",319.2857756457,"31/07/1951",70,NA,"2021-10-01",NA,4.56122536636714
"305",5,"RIO URUCU",137.3852797259,"31/07/1988",33,NA,"2021-10-01",NA,4.16319029472424
"306",6,"MIRANGA",223.0161121929,"31/07/1965",56,NA,"2021-10-01",NA,3.98243057487321
"307",7,"BURACICA",195.265576716,"31/05/1959",62,NA,"2021-10-01",NA,3.14944478574194
"308",8,"ARAÇÁS",163.4601010315,"30/04/1965",56,NA,"2021-10-01",NA,2.9189303755625
"309",9,"ESTREITO",109.0775602893,"31/03/1982",39,NA,"2021-10-01",NA,2.79686052023846
"310",10,"FAZENDA ALEGRE",56.9491590281,"31/10/1996",25,NA,"2021-10-01",NA,2.277966361124
"311",11,"TAQUIPE",115.6442921105,"31/03/1959",62,NA,"2021-10-01",NA,1.86523051791129
"312",12,"SIRIRIZINHO",84.3998316577,"30/11/1967",53,NA,"2021-10-01",NA,1.59244965391887
"313",13,"FAZENDA BÁLSAMO",55.0327518143,"31/08/1983",38,NA,"2021-10-01",NA,1.44823031090263
"314",14,"ALTO DO RODRIGUES",56.4560852831,"30/06/1981",40,NA,"2021-10-01",NA,1.4114021320775
"315",15,"CANDEIAS",110.6352667364,"31/12/1941",79,NA,"2021-10-01",NA,1.40044641438481
"316",16,"FAZENDA POCINHO",53.5299320613,"31/10/1982",39,NA,"2021-10-01",NA,1.37256236054615
"317",17,"PILAR",49.3720812171,"31/01/1982",39,NA,"2021-10-01",NA,1.26595080043846
"318",18,"FAZENDA BELÉM",35.6095757615,"31/05/1987",34,NA,"2021-10-01",NA,1.04734046357353
"319",19,"RIACHO DA FORQUILHA",31.5627150074,"31/05/1989",32,NA,"2021-10-01",NA,0.98633484398125
"320",20,"RIACHUELO",50.6137810422,"31/10/1965",56,NA,"2021-10-01",NA,0.903817518610714
"321",1,"CARMÓPOLIS",399.2769629626,"31/10/1963",58,NA,"2021-12-01",NA,6.88408556832069
"322",2,"ÁGUA GRANDE",319.3658356272,"31/07/1951",70,NA,"2021-12-01",NA,4.56236908038857
"323",3,"CANTO DO AMARO",290.4636236255,"31/01/1986",35,NA,"2021-12-01",NA,8.29896067501429
"324",4,"MIRANGA",223.0981115503,"31/07/1965",56,NA,"2021-12-01",NA,3.9838948491125
"325",5,"BURACICA",195.5622485363,"31/05/1959",62,NA,"2021-12-01",NA,3.15422981510161
"326",6,"LESTE DO URUCU",165.3839949917,"31/03/1992",29,NA,"2021-12-01",NA,5.70289637902414
"327",7,"ARAÇÁS",163.8093753518,"30/04/1965",56,NA,"2021-12-01",NA,2.92516741699643
"328",8,"RIO URUCU",137.9904912116,"31/07/1988",33,NA,"2021-12-01",NA,4.18153003671515
"329",9,"TAQUIPE",115.8202679877,"31/03/1959",62,NA,"2021-12-01",NA,1.86806883851129
"330",10,"CANDEIAS",110.7273659106,"31/12/1941",80,NA,"2021-12-01",NA,1.3840920738825
"331",11,"ESTREITO",109.8135703124,"31/03/1982",39,NA,"2021-12-01",NA,2.81573257211282
"332",12,"SIRIRIZINHO",84.540779876,"30/11/1967",54,NA,"2021-12-01",NA,1.5655699977037
"333",13,"FAZENDA ALEGRE",57.4439016524,"31/10/1996",25,NA,"2021-12-01",NA,2.297756066096
"334",14,"ALTO DO RODRIGUES",56.7778259427,"30/06/1981",40,NA,"2021-12-01",NA,1.4194456485675
"335",15,"FAZENDA BÁLSAMO",55.1677370489,"31/08/1983",38,NA,"2021-12-01",NA,1.45178255391842
"336",16,"FAZENDA POCINHO",53.7391741065,"31/10/1982",39,NA,"2021-12-01",NA,1.37792754119231
"337",17,"RIACHUELO",50.740701502,"31/10/1965",56,NA,"2021-12-01",NA,0.906083955392857
"338",18,"PILAR",49.4223384146,"31/01/1982",39,NA,"2021-12-01",NA,1.26723944652821
"339",19,"FAZENDA BELÉM",35.7160700912,"31/05/1987",34,NA,"2021-12-01",NA,1.05047264974118
"340",20,"LAGOA PARDA",34.0320483971,"30/06/1978",43,NA,"2021-12-01",NA,0.79144298597907
"341",1,"LESTE DO URUCU",431.261721805662,"31/03/1992",29,NA,"2021-11-01",NA,5.7026337484
"342",2,"RIO URUCU",425.699481981159,"31/07/1988",33,NA,"2021-11-01",NA,4.18139289322424
"343",3,"ÁGUA GRANDE",417.542795483741,"31/07/1951",70,NA,"2021-11-01",NA,4.56235897906714
"344",4,"CARMÓPOLIS",414.616583565145,"31/10/1963",58,NA,"2021-11-01",NA,6.88400700993276
"345",5,"MIRANGA",357.352194834191,"31/07/1965",56,NA,"2021-11-01",NA,3.98388267101071
"346",6,"CANTO DO AMARO",292.127713356767,"31/01/1986",35,NA,"2021-11-01",NA,8.29875156568
"347",7,"BURACICA",197.015324268869,"31/05/1959",62,NA,"2021-11-01",NA,3.15419191205161
"348",8,"ARAÇÁS",185.690857696314,"30/04/1965",56,NA,"2021-11-01",NA,2.92511953122321
"349",9,"CANDEIAS",151.737244459547,"31/12/1941",79,NA,"2021-11-01",NA,1.40160392417975
"350",10,"TAQUIPE",134.576903367993,"31/03/1959",62,NA,"2021-11-01",NA,1.86804616533226
"351",11,"PILAR",114.865821282446,"31/01/1982",39,NA,"2021-11-01",NA,1.26722797258974
"352",12,"ESTREITO",110.251799874502,"31/03/1982",39,NA,"2021-11-01",NA,2.81559380065897
"353",13,"SIRIRIZINHO",88.1355471027961,"30/11/1967",54,NA,"2021-11-01",NA,1.565548633
"354",14,"FAZENDA ALEGRE",58.8820866079042,"31/10/1996",25,NA,"2021-11-01",NA,2.297593099456
"355",15,"FAZENDA BÁLSAMO",58.5369920015784,"31/08/1983",38,NA,"2021-11-01",NA,1.45175736746053
"356",16,"ALTO DO RODRIGUES",57.1719644943596,"30/06/1981",40,NA,"2021-11-01",NA,1.419381376825
"357",17,"FAZENDA POCINHO",54.4820776973102,"31/10/1982",39,NA,"2021-11-01",NA,1.3778766319641
"358",18,"FURADO",54.4147463080583,"31/05/1969",52,NA,"2021-11-01",NA,0.516461166311539
"359",19,"RIACHUELO",51.397020486745,"31/10/1965",56,NA,"2021-11-01",NA,0.906066457228571
"360",20,"GAVIÃO REAL",47.5036293719308,"19/11/2012",9,NA,"2021-11-01",NA,0.00574712297777778
"361",1,"CANTO DO AMARO",288.1588366216,"31/01/1986",35,NA,"2021-02-01",NA,8.23310961776
"362",2,"CARMÓPOLIS",397.773717097,"31/10/1963",57,NA,"2021-02-01",NA,6.97848626485965
"363",3,"LESTE DO URUCU",163.0208426635,"31/03/1992",28,NA,"2021-02-01",NA,5.82217295226786
"364",4,"ÁGUA GRANDE",319.1851323018,"31/07/1951",69,NA,"2021-02-01",NA,4.62587148263478
"365",5,"RIO URUCU",136.4049368605,"31/07/1988",32,NA,"2021-02-01",NA,4.26265427689063
"366",6,"MIRANGA",222.9152392653,"31/07/1965",55,NA,"2021-02-01",NA,4.05300435027818
"367",7,"BURACICA",194.8039299428,"31/05/1959",61,NA,"2021-02-01",NA,3.19350704824262
"368",8,"ARAÇÁS",162.8613357122,"30/04/1965",55,NA,"2021-02-01",NA,2.96111519476727
"369",9,"ESTREITO",108.0917824467,"31/03/1982",38,NA,"2021-02-01",NA,2.84452059070263
"370",10,"FAZENDA ALEGRE",56.1641906259,"31/10/1996",24,NA,"2021-02-01",NA,2.3401746094125
"371",11,"TAQUIPE",115.3666894885,"31/03/1959",61,NA,"2021-02-01",NA,1.89125720472951
"372",12,"SIRIRIZINHO",84.1737802031,"30/11/1967",53,NA,"2021-02-01",NA,1.58818453213396
"373",13,"FAZENDA BÁLSAMO",54.7921142699,"31/08/1983",37,NA,"2021-02-01",NA,1.48086795324054
"374",14,"ALTO DO RODRIGUES",55.8966334572,"30/06/1981",39,NA,"2021-02-01",NA,1.43324701172308
"375",15,"FAZENDA POCINHO",53.1895947684,"31/10/1982",38,NA,"2021-02-01",NA,1.39972617811579
"376",16,"CANDEIAS",110.5024135667,"31/12/1941",79,NA,"2021-02-01",NA,1.3987647286924
"377",17,"PILAR",49.2922254023,"31/01/1982",39,NA,"2021-02-01",NA,1.26390321544359
"378",18,"FAZENDA BELÉM",35.4313347514,"31/05/1987",33,NA,"2021-02-01",NA,1.07367681064848
"379",19,"RIACHO DA FORQUILHA",31.2571770089,"31/05/1989",31,NA,"2021-02-01",NA,1.00829603254516
"380",20,"RIACHUELO",50.4205369081,"31/10/1965",55,NA,"2021-02-01",NA,0.916737034692727
"381",1,"CARMÓPOLIS",399.2935357048,"31/10/1963",58,NA,"2022-04-01",NA,6.88437130525517
"382",2,"ÁGUA GRANDE",319.3691800068,"31/07/1951",70,NA,"2022-04-01",NA,4.56241685724
"383",3,"CANTO DO AMARO",290.4917975966,"31/01/1986",36,NA,"2022-04-01",NA,8.06921659990555
"384",4,"MIRANGA",223.1021085107,"31/07/1965",56,NA,"2022-04-01",NA,3.98396622340536
"385",5,"BURACICA",195.5712716094,"31/05/1959",62,NA,"2022-04-01",NA,3.15437534853871
"386",6,"LESTE DO URUCU",165.4128843078,"31/03/1992",30,NA,"2022-04-01",NA,5.51376281026
"387",7,"ARAÇÁS",163.8184906888,"30/04/1965",57,NA,"2022-04-01",NA,2.87400860857544
"388",8,"RIO URUCU",138.0086608127,"31/07/1988",33,NA,"2022-04-01",NA,4.18208063068788
"389",9,"TAQUIPE",115.825658857,"31/03/1959",63,NA,"2022-04-01",NA,1.83850252153968
"390",10,"CANDEIAS",110.7294311878,"31/12/1941",80,NA,"2022-04-01",NA,1.3841178898475
"391",11,"ESTREITO",109.830884546,"31/03/1982",40,NA,"2022-04-01",NA,2.74577211365
"392",12,"SIRIRIZINHO",84.5455019263,"30/11/1967",54,NA,"2022-04-01",NA,1.56565744307963
"393",13,"FAZENDA ALEGRE",57.4604441524,"31/10/1996",25,NA,"2022-04-01",NA,2.298417766096
"394",14,"ALTO DO RODRIGUES",56.7886961215,"30/06/1981",40,NA,"2022-04-01",NA,1.4197174030375
"395",15,"FAZENDA BÁLSAMO",55.171524295,"31/08/1983",38,NA,"2022-04-01",NA,1.45188221828947
"396",16,"FAZENDA POCINHO",53.7464752212,"31/10/1982",39,NA,"2022-04-01",NA,1.37811474926154
"397",17,"RIACHUELO",50.7446545,"31/10/1965",56,NA,"2022-04-01",NA,0.906154544642857
"398",18,"PILAR",49.4269602017,"31/01/1982",40,NA,"2022-04-01",NA,1.2356740050425
"399",19,"FAZENDA BELÉM",35.7193726914,"31/05/1987",34,NA,"2022-04-01",NA,1.05056978504118
"400",20,"LAGOA PARDA",34.0327993291,"30/06/1978",43,NA,"2022-04-01",NA,0.791460449513954
"401",1,"CARMÓPOLIS",399.2814041434,"31/10/1963",58,NA,"2022-02-01",NA,6.88416214040345
"402",2,"ÁGUA GRANDE",319.3665614239,"31/07/1951",70,NA,"2022-02-01",NA,4.56237944891286
"403",3,"CANTO DO AMARO",290.470873947,"31/01/1986",36,NA,"2022-02-01",NA,8.06863538741666
"404",4,"MIRANGA",223.0988997347,"31/07/1965",56,NA,"2022-02-01",NA,3.98390892383393
"405",5,"BURACICA",195.5644935914,"31/05/1959",62,NA,"2022-02-01",NA,3.15426602566774
"406",6,"LESTE DO URUCU",165.3916723237,"31/03/1992",29,NA,"2022-02-01",NA,5.70316111461034
"407",7,"ARAÇÁS",163.811982608,"30/04/1965",56,NA,"2022-02-01",NA,2.92521397514286
"408",8,"RIO URUCU",137.9949940247,"31/07/1988",33,NA,"2022-02-01",NA,4.18166648559697
"409",9,"TAQUIPE",115.8214280531,"31/03/1959",62,NA,"2022-02-01",NA,1.86808754924355
"410",10,"CANDEIAS",110.728081379,"31/12/1941",80,NA,"2022-02-01",NA,1.3841010172375
"411",11,"ESTREITO",109.8183997973,"31/03/1982",39,NA,"2022-02-01",NA,2.81585640505897
"412",12,"SIRIRIZINHO",84.5419346153,"30/11/1967",54,NA,"2022-02-01",NA,1.56559138176481
"413",13,"FAZENDA ALEGRE",57.4481801213,"31/10/1996",25,NA,"2022-02-01",NA,2.297927204852
"414",14,"ALTO DO RODRIGUES",56.7803279627,"30/06/1981",40,NA,"2022-02-01",NA,1.4195081990675
"415",15,"FAZENDA BÁLSAMO",55.1686038991,"31/08/1983",38,NA,"2022-02-01",NA,1.45180536576579
"416",16,"FAZENDA POCINHO",53.7412656686,"31/10/1982",39,NA,"2022-02-01",NA,1.37798117098974
"417",17,"RIACHUELO",50.7417017923,"31/10/1965",56,NA,"2022-02-01",NA,0.906101817719643
"418",18,"PILAR",49.422872091,"31/01/1982",40,NA,"2022-02-01",NA,1.235571802275
"419",19,"FAZENDA BELÉM",35.7168214923,"31/05/1987",34,NA,"2022-02-01",NA,1.05049474977353
"420",20,"LAGOA PARDA",34.0322321174,"30/06/1978",43,NA,"2022-02-01",NA,0.791447258544186
"421",1,"CARMÓPOLIS",399.2814041434,"31/10/1963",58,NA,"2022-01-01",NA,6.88416214040345
"422",2,"ÁGUA GRANDE",319.3665614239,"31/07/1951",70,NA,"2022-01-01",NA,4.56237944891286
"423",3,"CANTO DO AMARO",290.470873947,"31/01/1986",36,NA,"2022-01-01",NA,8.06863538741666
"424",4,"MIRANGA",223.0988997347,"31/07/1965",56,NA,"2022-01-01",NA,3.98390892383393
"425",5,"BURACICA",195.5644935914,"31/05/1959",62,NA,"2022-01-01",NA,3.15426602566774
"426",6,"LESTE DO URUCU",165.3916723237,"31/03/1992",29,NA,"2022-01-01",NA,5.70316111461034
"427",7,"ARAÇÁS",163.811982608,"30/04/1965",56,NA,"2022-01-01",NA,2.92521397514286
"428",8,"RIO URUCU",137.9949940247,"31/07/1988",33,NA,"2022-01-01",NA,4.18166648559697
"429",9,"TAQUIPE",115.8214280531,"31/03/1959",62,NA,"2022-01-01",NA,1.86808754924355
"430",10,"CANDEIAS",110.728081379,"31/12/1941",80,NA,"2022-01-01",NA,1.3841010172375
"431",11,"ESTREITO",109.8183997973,"31/03/1982",39,NA,"2022-01-01",NA,2.81585640505897
"432",12,"SIRIRIZINHO",84.5419346153,"30/11/1967",54,NA,"2022-01-01",NA,1.56559138176481
"433",13,"FAZENDA ALEGRE",57.4481801213,"31/10/1996",25,NA,"2022-01-01",NA,2.297927204852
"434",14,"ALTO DO RODRIGUES",56.7803279627,"30/06/1981",40,NA,"2022-01-01",NA,1.4195081990675
"435",15,"FAZENDA BÁLSAMO",55.1686038991,"31/08/1983",38,NA,"2022-01-01",NA,1.45180536576579
"436",16,"FAZENDA POCINHO",53.7412656686,"31/10/1982",39,NA,"2022-01-01",NA,1.37798117098974
"437",17,"RIACHUELO",50.7417017923,"31/10/1965",56,NA,"2022-01-01",NA,0.906101817719643
"438",18,"PILAR",49.422872091,"31/01/1982",40,NA,"2022-01-01",NA,1.235571802275
"439",19,"FAZENDA BELÉM",35.7168214923,"31/05/1987",34,NA,"2022-01-01",NA,1.05049474977353
"440",20,"LAGOA PARDA",34.0322321174,"30/06/1978",43,NA,"2022-01-01",NA,0.791447258544186
"441",1,"LESTE DO URUCU",431.450699020368,"31/03/1992",30,NA,"2022-03-01",NA,5.51352232255667
"442",2,"RIO URUCU",425.87905971297,"31/07/1988",33,NA,"2022-03-01",NA,4.1819360667697
"443",3,"ÁGUA GRANDE",417.546295285428,"31/07/1951",70,NA,"2022-03-01",NA,4.56240249364143
"444",4,"CARMÓPOLIS",414.634980709656,"31/10/1963",58,NA,"2022-03-01",NA,6.88431591387759
"445",5,"MIRANGA",357.363743440451,"31/07/1965",56,NA,"2022-03-01",NA,3.98394520024643
"446",6,"CANTO DO AMARO",292.157037441406,"31/01/1986",36,NA,"2022-03-01",NA,8.06902950473055
"447",7,"BURACICA",197.024580544215,"31/05/1959",62,NA,"2022-03-01",NA,3.15433965298871
"448",8,"ARAÇÁS",185.705591193235,"30/04/1965",56,NA,"2022-03-01",NA,2.92529614979643
"449",9,"CANDEIAS",151.742599723008,"31/12/1941",80,NA,"2022-03-01",NA,1.38411336686375
"450",10,"TAQUIPE",134.582919910303,"31/03/1959",63,NA,"2022-03-01",NA,1.83848094494603
"451",11,"PILAR",114.873013324145,"31/01/1982",40,NA,"2022-03-01",NA,1.23563544707
"452",12,"ESTREITO",110.271013889619,"31/03/1982",40,NA,"2022-03-01",NA,2.7456830554175
"453",13,"SIRIRIZINHO",88.1404330187527,"30/11/1967",54,NA,"2022-03-01",NA,1.56563538662037
"454",14,"FAZENDA ALEGRE",58.8991537350478,"31/10/1996",25,NA,"2022-03-01",NA,2.29825786676
"455",15,"FAZENDA BÁLSAMO",58.5408454705283,"31/08/1983",38,NA,"2022-03-01",NA,1.45185641354211
"456",16,"ALTO DO RODRIGUES",57.1831072861555,"30/06/1981",40,NA,"2022-03-01",NA,1.4196588657475
"457",17,"FAZENDA POCINHO",54.4902938162968,"31/10/1982",39,NA,"2022-03-01",NA,1.37807620294103
"458",18,"FURADO",54.4187435209504,"31/05/1969",52,NA,"2022-03-01",NA,0.516500642023077
"459",19,"RIACHUELO",51.4010732388573,"31/10/1965",56,NA,"2022-03-01",NA,0.906137290976786
"460",20,"GAVIÃO REAL",47.508022124536,"19/11/2012",9,NA,"2022-03-01",NA,0.00574780943333333
